account_id,customer_id,Account_type,currency_code,current_balance,available_balance,hold_amount,minimum_balance,Interest_rate,routing_number,Opened_date
377128,7282170,Savings,USD,843184.29,780953.36,62230.93,100,0.0405,816054412,2020-07-24
498876,1331064,Checking,USD,56843.67,56325.8,517.87,0,0.0146,609450915,2023-06-22
776481,9952087,Savings,USD,81824.87,78951.85,2873.02,100,0.0436,623292170,2023-02-11
714676,5542137,Checking,USD,238926.87,229735.32,9191.55,0,0.0162,591857187,2020-09-19
632560,5470461,Savings,USD,15439.79,15259.8,179.99,100,0.0499,375545831,2022-12-15
974551,1085850,Savings,USD,546735.59,497991.98,48743.61,100,0.0492,384442342,2023-04-01
957339,3523420,Checking,USD,57813.82,56537.72,1276.1,0,0.0192,670818442,2023-08-04
946257,6257292,Checking,USD,251079.47,229535.05,21544.42,0,0.015,197105826,2024-04-24
759327,4298667,Checking,USD,538467.92,520391.65,18076.27,0,0.0103,949253247,2024-10-25
451781,5572772,Checking,USD,942330.7,940578.2,1752.5,0,0.014,666653778,2021-05-22
969405,7472808,Checking,USD,536780.22,486448.82,50331.4,0,0.0162,841815885,2022-05-25
938724,4744947,Savings,USD,512349.97,485873.47,26476.5,100,0.04,700626366,2020-05-02
855569,7520573,Savings,USD,731014.75,689795.78,41218.97,100,0.0374,342710752,2023-05-13
355717,5353999,Checking,USD,111464.65,110006.62,1458.03,0,0.0118,991471899,2022-11-22
735355,2905437,Savings,USD,706413.92,653710.55,52703.37,100,0.0243,841125080,2024-01-14
689028,3132115,Savings,USD,107397.56,99166.79,8230.77,100,0.0212,308469254,2020-09-21
352201,1116024,Checking,USD,73241.05,68058.95,5182.1,0,0.0187,554577615,2024-07-09
943312,2506671,Savings,USD,359450.85,342720.29,16730.56,100,0.0306,153937109,2024-01-10
718717,6013866,Savings,USD,331832.6,311892.57,19940.03,100,0.0367,288835810,2022-10-19
698350,8987277,Checking,USD,985735.36,940571.44,45163.92,0,0.0193,564049232,2020-11-02
924837,7201492,Checking,USD,243009.05,231687.73,11321.32,0,0.019,673826153,2020-12-24
838570,6979689,Savings,USD,733226.69,729097.37,4129.32,100,0.0241,824867394,2022-08-08
885977,1349668,Checking,USD,137680.99,129704.14,7976.85,0,0.0138,758409936,2023-06-20
673612,4204672,Checking,USD,816182.23,805033.04,11149.19,0,0.0182,287551270,2024-10-11
113399,8258224,Savings,USD,983234.48,950892.59,32341.89,100,0.0301,392442941,2024-10-31
157702,7259021,Checking,USD,727678.28,675763.05,51915.23,0,0.0101,582120506,2021-12-04
958998,2787920,Checking,USD,224990.08,223110.23,1879.85,0,0.0169,641359350,2021-05-12
869716,8790358,Savings,USD,336799.32,332590.59,4208.73,100,0.0344,486645071,2023-06-18
955197,2117789,Savings,USD,120657.34,120183.28,474.06,100,0.0416,219602026,2022-12-21
677266,1846900,Checking,USD,996897.75,940987.22,55910.53,0,0.0106,981325667,2020-02-13
120382,2263679,Savings,USD,911322.61,889501.21,21821.4,100,0.0313,182437345,2024-05-16
881132,1978796,Savings,USD,644982.95,602161.34,42821.61,100,0.0205,277453949,2020-08-19
140486,2204332,Checking,USD,272959.64,269050.67,3908.97,0,0.0195,563482331,2020-10-21
167907,7776695,Checking,USD,777546.32,777091.47,454.85,0,0.0165,856067621,2021-06-08
668279,8720936,Savings,USD,957885.83,875886.85,81998.98,100,0.0202,853565084,2023-10-03
135087,7619057,Checking,USD,683205.58,677398.7,5806.88,0,0.0182,540824669,2021-04-22
961735,6261306,Checking,USD,61350.21,56881.59,4468.62,0,0.0122,600684825,2023-03-22
912314,3130184,Checking,USD,758511.69,723399.07,35112.62,0,0.016,333363654,2023-10-18
479773,5564964,Checking,USD,917750.26,915538.2,2212.06,0,0.018,586130079,2024-06-18
289931,4517941,Checking,USD,120506.19,116227.09,4279.1,0,0.0106,815150647,2022-08-07
118442,1970075,Checking,USD,276616.75,265321.8,11294.95,0,0.0106,198936960,2022-08-23
790847,7791259,Savings,USD,946531.18,929237.04,17294.14,100,0.0203,931278682,2021-07-16
393677,7871731,Checking,USD,430877.2,388413.57,42463.63,0,0.0187,427756155,2022-04-17
983868,4230881,Savings,USD,628795.99,611032.56,17763.43,100,0.0479,340361432,2024-04-23
605368,6581038,Checking,USD,430717.7,425315.13,5402.57,0,0.0181,643591435,2020-06-24
631648,4058597,Savings,USD,87515.79,81053.61,6462.18,100,0.0215,616298063,2023-05-04
269699,5890433,Savings,USD,442800.99,400418.5,42382.49,100,0.0339,344415969,2021-08-15
278563,1897695,Savings,USD,925986.78,925900.64,86.14,100,0.0301,982037480,2023-07-24
180988,5421566,Checking,USD,621615.1,578078.22,43536.88,0,0.0119,860860513,2022-05-28
726300,8863701,Checking,USD,145251.94,136292.89,8959.05,0,0.0101,170810838,2021-06-16
187067,9750860,Savings,USD,745957.29,701748.48,44208.81,100,0.0321,331392038,2023-02-08
332610,9684019,Checking,USD,310768.89,281831.08,28937.81,0,0.0184,131125161,2024-01-31
108736,9901545,Checking,USD,740941.24,739897.51,1043.73,0,0.0114,833764211,2024-08-04
800834,4401574,Savings,USD,108548.93,108091.23,457.7,100,0.0491,969505577,2024-09-11
440686,1936545,Checking,USD,622589.26,609947.54,12641.72,0,0.0106,764626730,2023-12-06
378101,6511674,Savings,USD,133510.48,130020.59,3489.89,100,0.0356,313224872,2022-09-08
310725,2707959,Savings,USD,796820.5,759155.28,37665.22,100,0.0261,718005164,2023-06-16
836849,4246041,Checking,USD,71291.31,66413.37,4877.94,0,0.0149,761324626,2023-12-14
546083,1844382,Savings,USD,912855.11,896191.5,16663.61,100,0.0405,306907478,2024-09-20
514556,7716059,Checking,USD,532826.44,528361.98,4464.46,0,0.0164,880600891,2024-01-11
759971,7409466,Savings,USD,901605.05,862594.36,39010.69,100,0.036,427999891,2024-07-16
769913,5558118,Savings,USD,86253.26,79330.83,6922.43,100,0.05,229765165,2022-08-26
867765,9521443,Checking,USD,682264.24,665836.66,16427.58,0,0.019,506136270,2020-12-04
308059,6586508,Checking,USD,443247.62,436997.57,6250.05,0,0.012,214726209,2024-03-03
626375,5031236,Checking,USD,638199.94,577037.96,61161.98,0,0.0125,801254203,2020-12-09
128523,9008551,Checking,USD,163683.59,158763.57,4920.02,0,0.0101,631958474,2023-06-19
728030,6967026,Savings,USD,5091.76,4874.83,216.93,100,0.0391,483062470,2023-04-11
729145,3507040,Savings,USD,772911.14,698122.92,74788.22,100,0.0295,531771903,2021-12-31
114052,8592587,Savings,USD,828744.86,780122.5,48622.36,100,0.0468,971949700,2023-05-18
118818,7388120,Savings,USD,106884.87,100039.15,6845.72,100,0.0421,440948601,2021-02-03
645940,5471736,Savings,USD,208783.18,201930.59,6852.59,100,0.0411,809301726,2021-02-07
742760,8221633,Savings,USD,302087.61,285905.97,16181.64,100,0.0294,485776568,2020-04-05
456433,2048435,Savings,USD,69978.52,65794.47,4184.05,100,0.0454,887860612,2023-12-26
674362,7411663,Savings,USD,606729.8,562008.48,44721.32,100,0.0298,907691299,2021-06-07
549822,7433011,Savings,USD,590313.4,540399.16,49914.24,100,0.0279,273881225,2020-07-30
151165,5602893,Checking,USD,793938.27,788172.71,5765.56,0,0.0194,774594272,2022-05-31
862277,8592670,Checking,USD,415191.87,405262.59,9929.28,0,0.0121,626793703,2023-04-12
127887,7402944,Checking,USD,482908.05,456223.2,26684.85,0,0.0104,630674638,2022-05-08
504281,9454587,Checking,USD,968775.54,944284.2,24491.34,0,0.0112,545789229,2024-08-30
595357,2049171,Checking,USD,960667.11,922942.88,37724.23,0,0.0108,322422446,2024-05-15
699307,6811178,Savings,USD,82521.4,79607.28,2914.12,100,0.0244,765008230,2023-09-28
978053,4086885,Checking,USD,907403.67,872875.11,34528.56,0,0.0147,466202881,2020-09-24
885676,8985564,Savings,USD,457421.13,437856.54,19564.59,100,0.0472,817785956,2023-12-17
538681,8676478,Checking,USD,849694.52,836035.91,13658.61,0,0.0157,302312428,2024-02-01
241106,7454954,Savings,USD,896826.22,836067.71,60758.51,100,0.0332,440509737,2020-09-04
235717,6983510,Savings,USD,613725.5,576589.54,37135.96,100,0.0233,439963408,2021-11-17
990841,1333906,Checking,USD,177743.94,172412.89,5331.05,0,0.016,326942407,2022-11-21
889874,8375752,Checking,USD,125893.04,117700.09,8192.95,0,0.0163,562183464,2022-03-14
156758,1978910,Savings,USD,143740.71,131156.84,12583.87,100,0.0375,999782805,2020-10-21
910803,9758729,Savings,USD,484792.38,458379.45,26412.93,100,0.0442,675159135,2020-07-08
166411,8456630,Savings,USD,977247.48,905753.43,71494.05,100,0.0322,228557627,2019-11-19
308476,6069121,Checking,USD,296039.81,289593.46,6446.35,0,0.0118,193615214,2021-11-30
164179,4550837,Checking,USD,171461.86,169126.92,2334.94,0,0.0198,629913054,2021-04-29
632753,6576483,Checking,USD,631653.57,607320.16,24333.41,0,0.0154,888340236,2024-09-11
511897,7504485,Savings,USD,978976.87,969599.35,9377.52,100,0.023,153528946,2023-12-25
329803,2049508,Savings,USD,400877.32,394425.32,6452.0,100,0.0256,329599498,2023-07-11
397896,6268574,Savings,USD,45070.05,43139.73,1930.32,100,0.0313,495676949,2023-12-25
700493,8364949,Savings,USD,30895.08,29332.84,1562.24,100,0.0385,990514948,2020-05-14
175115,4874059,Checking,USD,964336.03,928367.28,35968.75,0,0.0184,364358349,2023-08-05
276770,2533383,Checking,USD,634351.11,604241.12,30109.99,0,0.0119,486381545,2021-05-25
144074,9796970,Savings,USD,25743.74,25155.94,587.8,100,0.0261,978169665,2019-12-30
568147,2945079,Savings,USD,634001.35,593275.36,40725.99,100,0.022,261953009,2022-12-21
113863,9922641,Checking,USD,104121.87,100329.69,3792.18,0,0.018,786710752,2022-08-07
443687,6988686,Checking,USD,151716.15,141134.36,10581.79,0,0.0175,178599037,2020-04-30
419931,4051541,Savings,USD,804647.14,744723.04,59924.1,100,0.0219,246734046,2023-05-09
223588,6521554,Checking,USD,338799.2,318595.41,20203.79,0,0.012,858359270,2022-03-22
711529,1261214,Checking,USD,265786.54,256502.15,9284.39,0,0.0115,539588310,2020-12-23
335708,6600136,Savings,USD,996503.34,956263.93,40239.41,100,0.0304,821666690,2020-03-31
849397,6383479,Savings,USD,289413.0,265417.77,23995.23,100,0.0241,777276241,2019-12-20
509129,7292205,Checking,USD,549260.97,521111.5,28149.47,0,0.0191,336023443,2022-08-06
370763,8279187,Checking,USD,461564.14,456230.52,5333.62,0,0.0113,649728702,2024-07-16
692096,1918131,Checking,USD,584689.47,551735.22,32954.25,0,0.0139,363165543,2021-08-13
808282,7680015,Checking,USD,218054.89,205791.34,12263.55,0,0.0121,263652590,2021-09-02
360550,3111031,Savings,USD,279484.27,276951.53,2532.74,100,0.0474,277087332,2021-01-18
753677,8121128,Checking,USD,620529.65,587043.07,33486.58,0,0.0116,758255239,2021-07-12
481802,8574759,Savings,USD,414300.36,384658.51,29641.85,100,0.0474,916097391,2020-06-09
751056,3071182,Checking,USD,391618.34,391553.95,64.39,0,0.0156,496947454,2021-09-28
909049,6847987,Checking,USD,296957.53,281165.46,15792.07,0,0.0136,361368115,2022-07-07
713715,1234617,Checking,USD,181779.72,178885.61,2894.11,0,0.0173,204709028,2021-05-04
242283,5378446,Savings,USD,405785.25,397299.86,8485.39,100,0.0454,363403182,2020-07-12
519066,7098200,Savings,USD,957696.75,876078.07,81618.68,100,0.0484,341068742,2022-09-22
989121,7389664,Savings,USD,266624.19,262072.34,4551.85,100,0.0447,831879093,2020-03-16
318704,2852877,Savings,USD,409803.91,369850.02,39953.89,100,0.0232,342567348,2023-10-12
317370,2223304,Checking,USD,261181.61,244124.05,17057.56,0,0.014,903471055,2022-08-11
973140,9364957,Savings,USD,188599.97,186669.64,1930.33,100,0.0484,440169159,2022-09-06
838199,5981531,Checking,USD,966182.38,875709.54,90472.84,0,0.0156,972375467,2024-07-01
356905,3887379,Checking,USD,988895.87,987434.37,1461.5,0,0.018,267708858,2024-02-25
516067,4786231,Checking,USD,272249.6,246660.42,25589.18,0,0.0169,757607388,2020-09-19
725220,6231341,Savings,USD,630093.23,616317.07,13776.16,100,0.0396,231173136,2021-12-22
383433,4874798,Savings,USD,259291.01,243600.13,15690.88,100,0.0273,391411987,2024-06-27
411296,4914712,Savings,USD,124471.33,122004.01,2467.32,100,0.03,657742601,2023-02-13
882403,2774480,Checking,USD,604456.43,598439.29,6017.14,0,0.0138,310000775,2024-07-05
328102,8446110,Savings,USD,996955.47,972932.76,24022.71,100,0.0273,127954362,2021-06-12
304631,2469156,Checking,USD,755518.41,731167.54,24350.87,0,0.013,789635395,2021-08-13
737799,8221906,Checking,USD,713612.74,700135.52,13477.22,0,0.0188,171387142,2020-10-26
636840,6913492,Savings,USD,968247.17,943167.26,25079.91,100,0.0216,565896226,2022-02-25
730957,6640655,Savings,USD,77877.37,76646.45,1230.92,100,0.0423,152160063,2023-01-20
697226,3323227,Savings,USD,581751.4,534979.51,46771.89,100,0.0301,383730821,2021-12-01
829828,7701917,Savings,USD,423120.25,407898.66,15221.59,100,0.0442,741890709,2024-10-05
621969,2514913,Checking,USD,239648.18,222306.33,17341.85,0,0.0147,197919680,2023-01-21
410233,7913081,Savings,USD,448502.29,404363.11,44139.18,100,0.0217,962193181,2022-12-25
930457,7504485,Checking,USD,946566.41,885046.2,61520.21,0,0.015,693347267,2020-03-24
729469,6993668,Savings,USD,471677.97,449635.07,22042.9,100,0.0442,304371778,2023-01-08
838393,3856980,Savings,USD,373056.65,372253.61,803.04,100,0.044,606617926,2020-04-24
170199,7251863,Checking,USD,436034.25,424004.0,12030.25,0,0.0172,390542053,2019-11-20
295761,8415140,Checking,USD,804366.02,760233.94,44132.08,0,0.018,828543497,2022-10-31
623009,5712213,Savings,USD,838013.05,836568.75,1444.3,100,0.0394,949560605,2020-11-25
969499,1905442,Savings,USD,840464.8,802377.46,38087.34,100,0.0491,349170920,2020-03-23
349492,5149410,Checking,USD,240824.48,234203.97,6620.51,0,0.0191,951336131,2019-12-23
149827,6323786,Checking,USD,682050.31,633061.06,48989.25,0,0.0128,442304652,2024-10-06
770417,5644752,Checking,USD,829376.63,753428.69,75947.94,0,0.0114,958389729,2022-06-10
400499,4457220,Checking,USD,754782.66,690787.48,63995.18,0,0.0144,122886845,2023-08-25
907717,1569678,Savings,USD,471666.75,459360.35,12306.4,100,0.0313,998075155,2022-01-10
245194,2342448,Checking,USD,452745.22,433625.31,19119.91,0,0.0133,656972915,2022-01-06
535183,1159363,Savings,USD,912977.23,902567.1,10410.13,100,0.0314,673824116,2022-04-06
386910,4117289,Savings,USD,686184.25,619031.56,67152.69,100,0.0343,893646513,2022-08-21
197972,7671611,Checking,USD,704439.21,703725.33,713.88,0,0.0161,496022470,2022-03-21
331035,7996292,Checking,USD,922985.48,894413.11,28572.37,0,0.0158,315943446,2024-05-30
173962,8718190,Checking,USD,64505.8,63415.29,1090.51,0,0.0151,964092108,2021-10-06
863752,4407843,Checking,USD,792559.06,776495.07,16063.99,0,0.0142,280732606,2020-09-12
508772,3408631,Checking,USD,969257.4,899094.05,70163.35,0,0.0148,617433104,2021-07-31
220274,3738938,Savings,USD,313749.79,296783.39,16966.4,100,0.0411,127148722,2022-09-07
129346,8462919,Savings,USD,809627.31,754720.86,54906.45,100,0.035,325129966,2023-03-28
538998,1519444,Checking,USD,747413.87,701636.63,45777.24,0,0.0128,329019718,2022-08-22
609036,2477487,Checking,USD,236541.26,216405.48,20135.78,0,0.0199,627412724,2023-03-12
183501,2974179,Savings,USD,626369.29,619345.93,7023.36,100,0.0435,979223958,2020-08-27
792365,6636905,Savings,USD,303948.12,291788.13,12159.99,100,0.0373,481184043,2020-05-15
598750,1611283,Checking,USD,21465.62,19836.67,1628.95,0,0.0156,345291702,2021-12-29
976508,4827281,Savings,USD,685107.12,620004.43,65102.69,100,0.0275,341030396,2023-12-06
856712,7369125,Checking,USD,305688.92,279229.4,26459.52,0,0.011,259509132,2022-07-19
129125,1512063,Checking,USD,882243.62,802515.4,79728.22,0,0.0152,362163062,2021-04-08
893789,7069023,Savings,USD,994249.38,977828.57,16420.81,100,0.0265,808489019,2024-01-22
789666,4714412,Savings,USD,336234.6,330432.7,5801.9,100,0.0335,147505522,2024-02-26
950007,5982739,Checking,USD,812702.7,795711.3,16991.4,0,0.0144,593295488,2020-07-22
243061,5650627,Savings,USD,175700.87,167204.36,8496.51,100,0.0396,343859870,2024-01-24
976663,7562810,Savings,USD,625677.89,593001.74,32676.15,100,0.0327,523033314,2023-08-30
786257,6195171,Checking,USD,98049.11,89669.72,8379.39,0,0.0126,826493097,2023-06-25
664563,4458311,Savings,USD,900613.65,813119.3,87494.35,100,0.0482,246833586,2022-08-20
314738,8268837,Savings,USD,193826.8,189042.63,4784.17,100,0.0388,151618251,2023-05-29
496593,7545393,Savings,USD,827407.68,794070.79,33336.89,100,0.0493,142245423,2023-11-15
375656,3595528,Savings,USD,952088.47,923912.82,28175.65,100,0.0302,943964985,2024-09-25
176923,4654144,Checking,USD,7535.02,7051.55,483.47,0,0.0179,672987240,2022-03-02
587149,9369141,Savings,USD,848107.34,846789.62,1317.72,100,0.0415,898004559,2023-11-10
259293,3052639,Savings,USD,510307.5,473034.68,37272.82,100,0.0279,226132213,2020-02-23
192135,6792585,Savings,USD,524211.58,504217.26,19994.32,100,0.0345,615459880,2022-10-20
156290,5593695,Checking,USD,904418.58,861261.42,43157.16,0,0.0146,896901900,2024-10-17
469253,9370240,Checking,USD,412315.52,409272.45,3043.07,0,0.0149,497913350,2023-05-14
317562,6778893,Savings,USD,241880.98,227287.42,14593.56,100,0.027,532440008,2024-05-28
742370,2512823,Savings,USD,344576.08,315406.77,29169.31,100,0.0453,838012246,2023-08-26
