cust_number,social_security_num,firstname,lastname,birthdate,email_address,contact_number,street_address,city,state_code,postal_code,nation,fico_score,annual_income,customer_type
9874152,108-95-5905,William,Brown,1989-07-07,william.brown@example.com,(206)-999-3200,4433 Main St,New York,AZ,30374,United States,578,63810.75,Personal
5428914,617-72-5114,Linda,Jones,2005-11-28,linda.jones@example.com,(152)-194-7939,4633 Main St,New York,IL,27146,United States,568,49389.84,Business
1162230,214-19-3442,William,Miller,1978-12-12,william.miller@example.com,(136)-954-7049,9643 Elm St,Los Angeles,TX,26704,United States,342,66991.0,Personal
5186414,782-23-6794,Linda,Jones,1999-12-27,linda.jones@example.com,(673)-995-7658,2632 Broadway,Los Angeles,CA,64040,United States,325,51523.28,Business
5476257,263-99-2771,Michael,Jones,1964-04-27,michael.jones@example.com,(993)-139-8711,3744 Broadway,Houston,IL,50001,United States,533,56750.83,Personal
5674183,985-18-5573,Michael,Davis,1961-07-03,michael.davis@example.com,(756)-621-7548,8885 1st Ave,New York,NY,44237,United States,482,99670.77,Business
8290770,453-50-8149,James,Johnson,1984-05-21,james.johnson@example.com,(623)-218-7311,9546 Broadway,Chicago,NY,67154,United States,301,92390.44,Personal
2173965,780-52-6143,Linda,Miller,1989-07-07,linda.miller@example.com,(968)-227-5920,8408 1st Ave,Houston,IL,62743,United States,602,96529.5,Personal
3919694,730-82-5930,Michael,Miller,1966-06-07,michael.miller@example.com,(661)-953-1006,5078 1st Ave,Los Angeles,TX,86019,United States,629,85798.58,Business
8938746,912-31-2389,Patricia,Moore,1955-06-18,patricia.moore@example.com,(627)-779-6491,1630 Broadway,Chicago,CA,36100,United States,450,32931.05,Personal
2221854,566-63-4185,Barbara,Taylor,1994-06-12,barbara.taylor@example.com,(813)-493-9099,6647 Broadway,Los Angeles,NY,23970,United States,735,56260.94,Business
5180853,968-25-8478,James,Moore,1941-12-18,james.moore@example.com,(920)-575-9702,9257 Elm St,Chicago,TX,90301,United States,816,81208.89,Business
8550917,365-41-5543,John,Wilson,1998-09-15,john.wilson@example.com,(896)-633-8939,4019 1st Ave,Houston,NY,47450,United States,540,62605.81,Business
3321531,254-39-7275,William,Johnson,1992-04-04,william.johnson@example.com,(256)-823-4505,1152 2nd Ave,Houston,IL,81121,United States,777,79892.91,Personal
1327691,977-83-7232,Michael,Miller,1972-10-16,michael.miller@example.com,(106)-460-5892,6489 2nd Ave,Phoenix,AZ,89069,United States,525,88587.54,Business
1486955,498-53-7624,Michael,Wilson,1994-12-20,michael.wilson@example.com,(269)-960-8657,2191 Elm St,Phoenix,NY,61645,United States,327,40073.7,Business
4048907,151-43-7211,John,Wilson,1959-05-15,john.wilson@example.com,(316)-565-6355,5629 2nd Ave,Chicago,TX,43065,United States,383,86436.82,Personal
2151225,899-93-1659,Linda,Jones,1997-08-31,linda.jones@example.com,(131)-353-4266,433 Elm St,Los Angeles,CA,26544,United States,784,110335.06,Personal
7189034,271-87-2876,Barbara,Brown,1999-10-12,barbara.brown@example.com,(938)-267-6096,1871 Elm St,New York,IL,85470,United States,684,77598.53,Personal
5074336,204-99-5941,Mary,Taylor,1991-05-22,mary.taylor@example.com,(714)-924-2983,9372 Main St,Chicago,AZ,66148,United States,679,38274.81,Business
9224219,208-65-6934,James,Miller,1987-01-08,james.miller@example.com,(948)-570-3506,7235 Broadway,Phoenix,IL,90728,United States,795,85784.85,Business
2453962,385-67-4995,Linda,Jones,1997-04-30,linda.jones@example.com,(575)-683-7209,5611 Main St,Houston,IL,33834,United States,799,55454.38,Business
5635017,669-11-9464,Linda,Brown,1947-02-21,linda.brown@example.com,(187)-347-7658,8104 Elm St,Los Angeles,TX,94659,United States,802,83780.95,Personal
4717770,514-98-4986,Mary,Brown,1957-06-21,mary.brown@example.com,(779)-695-7046,7853 Elm St,Phoenix,IL,65771,United States,638,72217.26,Business
5217853,336-25-4155,Robert,Brown,1958-04-23,robert.brown@example.com,(222)-860-9779,3133 Broadway,Los Angeles,TX,46241,United States,837,101614.89,Personal
4816534,469-32-5952,Patricia,Brown,1931-04-09,patricia.brown@example.com,(825)-646-3073,4594 Main St,New York,AZ,48290,United States,429,106544.36,Business
5770422,580-71-8216,Mary,Smith,1960-07-26,mary.smith@example.com,(288)-152-5136,7927 Main St,New York,TX,74454,United States,375,99242.54,Personal
6097514,187-41-2940,John,Williams,1980-01-25,john.williams@example.com,(882)-526-4697,8661 2nd Ave,Houston,TX,48974,United States,739,66645.63,Personal
4486102,740-37-5335,Elizabeth,Johnson,1989-04-01,elizabeth.johnson@example.com,(183)-260-4929,2947 Elm St,New York,CA,10350,United States,718,84060.44,Business
4883526,395-46-8438,Robert,Smith,1936-05-21,robert.smith@example.com,(803)-339-5334,9763 Broadway,Houston,NY,81376,United States,530,107716.17,Business
2000560,269-49-5728,John,Johnson,1969-05-26,john.johnson@example.com,(227)-579-5982,6694 1st Ave,Phoenix,AZ,74722,United States,748,39653.02,Personal
5200476,126-21-4750,Michael,Davis,1990-06-30,michael.davis@example.com,(956)-981-1339,4515 Elm St,New York,CA,71669,United States,831,108181.14,Business
8312936,750-72-2494,John,Taylor,1972-03-02,john.taylor@example.com,(456)-518-6460,5360 Main St,Los Angeles,IL,63955,United States,807,64586.14,Business
8630712,190-50-5135,William,Smith,1959-01-02,william.smith@example.com,(218)-891-7622,8531 Main St,Phoenix,TX,64165,United States,355,52509.9,Business
8416216,878-16-4335,Elizabeth,Wilson,1953-12-16,elizabeth.wilson@example.com,(662)-234-5719,7278 2nd Ave,New York,NY,92578,United States,545,115173.94,Business
7844947,195-38-2858,William,Smith,1971-05-26,william.smith@example.com,(220)-763-3522,8265 1st Ave,Phoenix,IL,64459,United States,794,147629.36,Personal
3426689,492-34-9327,Barbara,Moore,1996-12-14,barbara.moore@example.com,(239)-984-2143,4626 2nd Ave,Chicago,AZ,45018,United States,302,63940.68,Business
9214801,986-29-8316,Elizabeth,Taylor,1978-04-27,elizabeth.taylor@example.com,(595)-453-6446,9142 Elm St,Houston,TX,52176,United States,493,147692.96,Personal
4918527,976-62-1715,Elizabeth,Miller,1958-07-19,elizabeth.miller@example.com,(862)-584-7246,6425 Broadway,Houston,NY,26547,United States,814,145842.43,Business
2672884,638-68-1251,Mary,Wilson,1994-10-25,mary.wilson@example.com,(247)-519-3529,1325 2nd Ave,Chicago,IL,91691,United States,707,107980.4,Business
6312692,741-72-9864,William,Miller,1933-03-22,william.miller@example.com,(732)-170-4846,4808 Broadway,New York,TX,22903,United States,402,83241.43,Business
6442103,915-17-5806,James,Smith,1962-02-28,james.smith@example.com,(483)-541-3385,4100 Elm St,Houston,AZ,99364,United States,484,50398.04,Personal
5040453,609-84-3344,Elizabeth,Miller,1950-10-31,elizabeth.miller@example.com,(572)-753-5161,7629 1st Ave,New York,TX,47700,United States,461,38863.43,Business
8118722,806-42-8484,Elizabeth,Brown,2005-11-01,elizabeth.brown@example.com,(409)-303-7302,8016 Main St,Los Angeles,TX,84963,United States,667,98977.43,Business
5605016,108-82-1803,James,Miller,1984-05-27,james.miller@example.com,(863)-608-5689,3870 Elm St,Chicago,CA,93442,United States,494,104506.94,Personal
6183033,907-66-1546,Mary,Smith,1981-12-30,mary.smith@example.com,(473)-849-3153,1576 1st Ave,Chicago,TX,33021,United States,505,45859.18,Business
5572250,950-31-5210,William,Moore,2003-12-27,william.moore@example.com,(593)-925-5835,5649 Main St,Houston,NY,28449,United States,531,133216.87,Business
2515030,909-60-1228,William,Davis,1953-09-22,william.davis@example.com,(649)-226-8451,6138 1st Ave,Phoenix,TX,93695,United States,680,43001.53,Personal
6503032,724-38-2035,Barbara,Smith,1987-01-02,barbara.smith@example.com,(943)-575-5951,6789 Main St,Los Angeles,NY,14877,United States,611,149511.28,Personal
3276065,497-68-7078,Mary,Jones,1990-02-25,mary.jones@example.com,(860)-813-9850,6966 Elm St,Los Angeles,TX,95841,United States,401,130043.17,Business
7216461,322-66-8285,Robert,Smith,1951-03-08,robert.smith@example.com,(975)-471-2627,6118 Elm St,Chicago,NY,62184,United States,582,52777.03,Personal
4558545,757-91-1349,Barbara,Johnson,1934-07-16,barbara.johnson@example.com,(905)-441-4990,2163 Elm St,Los Angeles,NY,82641,United States,512,100365.97,Personal
1047572,383-28-3129,Linda,Williams,1978-06-19,linda.williams@example.com,(356)-917-3858,1901 Main St,Los Angeles,NY,56955,United States,543,100662.35,Personal
1879109,229-63-9619,John,Brown,1940-03-13,john.brown@example.com,(863)-165-8802,7444 1st Ave,Phoenix,AZ,24293,United States,762,90460.64,Personal
8684678,758-13-1996,William,Brown,1972-12-21,william.brown@example.com,(967)-511-7984,1868 2nd Ave,Houston,NY,20589,United States,629,102995.69,Personal
6455706,490-86-9692,John,Brown,1956-06-16,john.brown@example.com,(564)-617-8048,1724 Main St,Phoenix,CA,66370,United States,762,136570.92,Business
7689582,525-22-6120,Linda,Wilson,1968-04-15,linda.wilson@example.com,(420)-781-5176,6232 Broadway,Houston,NY,21957,United States,387,41187.61,Personal
2006313,700-81-6400,Linda,Williams,1990-02-09,linda.williams@example.com,(225)-520-6793,7029 Main St,Chicago,AZ,50953,United States,660,42432.07,Personal
4762204,967-23-6736,John,Wilson,2005-11-04,john.wilson@example.com,(669)-476-2882,4664 Elm St,Los Angeles,TX,83526,United States,326,103079.39,Business
5584716,819-49-6567,James,Williams,1961-06-29,james.williams@example.com,(106)-285-3347,9378 2nd Ave,New York,CA,92991,United States,331,41010.92,Personal
8610913,449-30-7062,Michael,Miller,1957-12-16,michael.miller@example.com,(838)-432-2391,961 Broadway,Los Angeles,AZ,16522,United States,383,62652.34,Business
8416270,524-44-4531,Barbara,Taylor,1997-09-23,barbara.taylor@example.com,(624)-216-6655,7143 Main St,Chicago,AZ,73783,United States,839,110055.91,Personal
1919088,107-36-5938,Patricia,Miller,1948-12-13,patricia.miller@example.com,(885)-240-5186,4842 1st Ave,New York,NY,75193,United States,740,51083.38,Business
9393009,672-95-6802,William,Jones,1936-06-19,william.jones@example.com,(506)-982-1693,7247 Main St,Houston,NY,51033,United States,739,98807.96,Business
7795314,121-51-3815,Robert,Johnson,2001-11-21,robert.johnson@example.com,(732)-571-6928,1543 2nd Ave,New York,CA,67104,United States,710,92875.51,Business
4717362,441-31-2251,Robert,Davis,1975-10-19,robert.davis@example.com,(748)-216-9693,8455 Broadway,Chicago,IL,94599,United States,451,58352.26,Personal
3910830,716-29-2234,Robert,Jones,1945-11-22,robert.jones@example.com,(891)-743-9095,7701 Elm St,Phoenix,TX,99277,United States,630,133709.62,Business
2145653,580-66-5961,John,Wilson,2001-06-11,john.wilson@example.com,(381)-705-1920,5866 Elm St,New York,IL,70521,United States,762,34512.87,Business
2514923,729-86-9307,Robert,Johnson,1964-06-29,robert.johnson@example.com,(573)-694-1672,7468 Elm St,Los Angeles,IL,89299,United States,787,90164.08,Personal
6761929,831-20-9266,Barbara,Johnson,1987-12-20,barbara.johnson@example.com,(276)-140-5059,7272 2nd Ave,Phoenix,AZ,89928,United States,462,73667.76,Business
6676858,795-86-1857,Michael,Miller,2000-10-21,michael.miller@example.com,(746)-762-6482,1179 1st Ave,New York,AZ,98916,United States,695,64097.64,Personal
3372774,458-49-7421,Linda,Johnson,1941-07-27,linda.johnson@example.com,(709)-825-2388,5172 Elm St,Houston,IL,26750,United States,839,41214.36,Business
1305857,471-49-3953,William,Davis,1949-03-20,william.davis@example.com,(449)-884-8967,3245 Broadway,Los Angeles,CA,20114,United States,602,131331.41,Personal
9833734,138-94-6517,William,Moore,1998-10-01,william.moore@example.com,(732)-234-7172,2627 Broadway,Los Angeles,AZ,31697,United States,748,35243.09,Business
5780297,870-67-4833,Patricia,Wilson,1977-11-28,patricia.wilson@example.com,(344)-416-8684,3278 1st Ave,Phoenix,TX,70513,United States,588,123374.88,Business
3321942,993-42-1854,John,Jones,1987-07-11,john.jones@example.com,(592)-995-7081,9185 Main St,Phoenix,NY,47363,United States,385,121574.02,Business
3472100,950-65-2502,Barbara,Moore,1949-12-02,barbara.moore@example.com,(936)-561-6727,536 2nd Ave,New York,TX,75799,United States,682,58293.37,Personal
1472908,426-22-6493,Linda,Jones,2000-12-30,linda.jones@example.com,(249)-240-1627,4800 2nd Ave,Los Angeles,TX,68799,United States,305,138702.9,Personal
3508522,661-87-9647,Robert,Jones,1967-12-22,robert.jones@example.com,(213)-894-5720,3993 1st Ave,New York,NY,41252,United States,729,106674.21,Business
9385742,711-78-1269,Mary,Johnson,1986-09-11,mary.johnson@example.com,(627)-688-4963,2452 1st Ave,Houston,NY,90584,United States,661,58867.71,Business
9782613,469-18-9618,John,Johnson,1978-10-24,john.johnson@example.com,(619)-905-9316,9179 Main St,Houston,TX,15706,United States,696,147724.73,Business
2133461,453-40-2698,James,Davis,1999-03-20,james.davis@example.com,(695)-852-6447,2285 Main St,Chicago,AZ,54374,United States,479,129646.04,Business
3262450,164-68-1605,Barbara,Williams,1956-04-29,barbara.williams@example.com,(306)-144-4268,786 1st Ave,Chicago,AZ,62196,United States,784,60397.65,Personal
1802018,986-93-6438,Robert,Davis,1954-07-06,robert.davis@example.com,(227)-918-7029,7259 2nd Ave,Houston,TX,54438,United States,491,89544.39,Business
5474830,920-20-7955,Linda,Moore,1937-01-30,linda.moore@example.com,(540)-716-3956,9037 1st Ave,Chicago,NY,20494,United States,635,109310.31,Business
8149041,270-98-8272,Barbara,Taylor,1961-07-16,barbara.taylor@example.com,(557)-143-6776,7226 1st Ave,New York,NY,97973,United States,715,73597.34,Personal
8351320,135-26-2101,James,Williams,1951-03-05,james.williams@example.com,(897)-760-7001,6033 2nd Ave,Phoenix,NY,89310,United States,457,111487.45,Business
2289923,687-27-9674,Linda,Wilson,1962-12-03,linda.wilson@example.com,(507)-421-5566,4189 Main St,New York,CA,75410,United States,830,76438.49,Personal
8487220,319-88-5678,Robert,Brown,1992-04-05,robert.brown@example.com,(602)-304-3009,2323 Main St,Houston,CA,68341,United States,389,127261.59,Business
5871470,407-30-3852,Linda,Johnson,2001-03-16,linda.johnson@example.com,(470)-620-4673,2088 Broadway,Los Angeles,CA,74752,United States,326,73307.58,Business
3177199,726-21-2077,Barbara,Moore,1957-09-30,barbara.moore@example.com,(507)-834-8842,8712 2nd Ave,Houston,AZ,19666,United States,428,146685.57,Personal
9679860,452-26-3981,Barbara,Wilson,1998-11-18,barbara.wilson@example.com,(232)-543-9238,1007 Main St,Phoenix,CA,49862,United States,468,49436.04,Personal
5765539,966-20-5105,Linda,Moore,1947-08-12,linda.moore@example.com,(750)-664-5496,2150 1st Ave,Phoenix,AZ,22245,United States,814,106918.49,Personal
6664316,962-82-1674,John,Taylor,2004-01-14,john.taylor@example.com,(984)-129-2330,844 Elm St,Chicago,CA,84991,United States,726,104173.01,Personal
5859883,757-48-8912,Barbara,Moore,1951-12-21,barbara.moore@example.com,(924)-926-7653,4973 2nd Ave,New York,NY,30719,United States,750,79874.61,Business
3410360,420-50-6658,Patricia,Davis,1965-10-09,patricia.davis@example.com,(233)-878-7070,8537 Elm St,New York,IL,41685,United States,777,44702.63,Business
2624230,151-47-7293,Patricia,Williams,1985-03-17,patricia.williams@example.com,(528)-354-3616,5464 Elm St,Chicago,CA,30885,United States,810,149516.33,Business
9344488,123-21-7442,Barbara,Brown,1975-05-07,barbara.brown@example.com,(568)-346-4524,9657 1st Ave,New York,NY,46877,United States,806,101702.25,Business
1137194,967-23-8060,Robert,Moore,1942-01-06,robert.moore@example.com,(370)-844-6992,6706 1st Ave,New York,TX,16705,United States,499,73502.85,Business
9460003,561-80-5582,Mary,Miller,2004-01-16,mary.miller@example.com,(738)-796-2946,2208 Main St,Houston,IL,54444,United States,674,120595.82,Personal
7734157,612-15-1742,Elizabeth,Moore,1933-06-29,elizabeth.moore@example.com,(240)-830-6456,7861 Elm St,Houston,CA,89463,United States,827,46773.72,Business
6020319,707-53-9311,John,Miller,2004-04-23,john.miller@example.com,(621)-645-9025,9322 1st Ave,Houston,NY,58281,United States,639,110856.77,Business
1447065,711-70-5350,Elizabeth,Brown,1988-10-25,elizabeth.brown@example.com,(901)-894-4728,941 Elm St,Houston,CA,78712,United States,689,47733.08,Personal
2843740,295-12-8225,James,Taylor,1958-02-22,james.taylor@example.com,(528)-255-7765,3440 2nd Ave,Phoenix,AZ,71814,United States,363,114693.03,Personal
9025733,638-58-6140,William,Davis,1945-07-15,william.davis@example.com,(570)-645-6608,9050 1st Ave,Chicago,AZ,73462,United States,496,144880.49,Business
4772642,404-46-4396,William,Brown,1991-12-04,william.brown@example.com,(821)-600-6194,7961 1st Ave,Phoenix,IL,47721,United States,424,98817.22,Business
3457461,397-15-5712,Michael,Davis,1994-01-25,michael.davis@example.com,(180)-454-8247,4301 2nd Ave,Los Angeles,CA,80592,United States,577,141962.87,Business
5014486,348-16-9700,John,Johnson,1950-03-31,john.johnson@example.com,(753)-338-1860,1741 2nd Ave,Chicago,TX,23178,United States,440,30621.77,Personal
9010256,766-35-5706,Michael,Wilson,1958-10-25,michael.wilson@example.com,(392)-761-1969,1565 Elm St,Los Angeles,AZ,14888,United States,479,80146.2,Personal
9311162,290-47-1613,James,Miller,1930-10-31,james.miller@example.com,(405)-681-2758,5589 1st Ave,Houston,AZ,78723,United States,805,136711.2,Personal
5577446,297-24-6417,William,Wilson,1944-07-30,william.wilson@example.com,(848)-569-5215,3150 Main St,Chicago,IL,84420,United States,497,51059.39,Business
6501696,188-61-2562,Michael,Moore,1946-07-30,michael.moore@example.com,(243)-588-6301,4164 Main St,Chicago,TX,40870,United States,757,120450.8,Business
1191859,367-93-6890,Robert,Taylor,1992-02-25,robert.taylor@example.com,(341)-163-2936,7725 1st Ave,Los Angeles,TX,99925,United States,814,140772.72,Business
7166363,729-38-4590,Mary,Brown,1941-12-25,mary.brown@example.com,(589)-256-8454,6221 2nd Ave,Phoenix,TX,80453,United States,523,121423.15,Personal
9861274,820-56-2279,William,Wilson,1980-08-12,william.wilson@example.com,(214)-163-9972,8381 Broadway,Phoenix,AZ,29641,United States,468,69374.12,Business
9201172,193-75-8298,Mary,Jones,2002-07-21,mary.jones@example.com,(156)-564-3161,8509 2nd Ave,Houston,AZ,17567,United States,773,110732.13,Business
5269083,936-10-4570,James,Miller,1981-11-19,james.miller@example.com,(174)-146-7941,5744 Main St,Phoenix,NY,19046,United States,783,33808.18,Business
8052503,483-58-8348,John,Williams,1963-11-13,john.williams@example.com,(484)-182-9835,2278 1st Ave,New York,CA,80419,United States,702,93461.1,Personal
6005700,574-96-9920,James,Smith,1968-01-19,james.smith@example.com,(644)-488-4762,4155 2nd Ave,Chicago,CA,46129,United States,493,142489.24,Personal
1262492,346-36-2102,James,Miller,1939-01-20,james.miller@example.com,(708)-134-8314,9894 Main St,Los Angeles,NY,62725,United States,749,58120.71,Personal
9453969,396-39-6224,James,Williams,1981-10-22,james.williams@example.com,(712)-891-6253,3981 1st Ave,Los Angeles,AZ,38972,United States,723,66060.11,Personal
3938247,741-96-7999,William,Taylor,1979-11-14,william.taylor@example.com,(607)-148-6642,6344 Elm St,Chicago,TX,63511,United States,452,65986.62,Personal
5042775,969-38-5927,William,Wilson,1993-06-24,william.wilson@example.com,(247)-925-8586,1044 Elm St,Houston,TX,83044,United States,842,46091.13,Personal
6540893,762-20-8369,Robert,Jones,2005-12-31,robert.jones@example.com,(479)-194-9775,3220 Main St,Chicago,TX,98299,United States,340,134834.46,Personal
4640933,590-36-6455,Elizabeth,Moore,1957-03-14,elizabeth.moore@example.com,(115)-316-4113,2022 2nd Ave,Los Angeles,AZ,36805,United States,706,139815.18,Business
8822384,646-93-6886,Robert,Miller,1957-09-02,robert.miller@example.com,(367)-468-9401,8247 2nd Ave,New York,TX,51973,United States,508,74484.59,Business
4712363,859-28-1265,James,Taylor,1953-05-25,james.taylor@example.com,(666)-698-7841,4936 Broadway,Los Angeles,IL,40149,United States,688,98374.74,Personal
6663388,363-72-9037,Barbara,Moore,1971-05-06,barbara.moore@example.com,(272)-850-6770,2873 Broadway,Phoenix,TX,34123,United States,360,92873.33,Personal
7918793,240-90-4791,James,Smith,1936-02-06,james.smith@example.com,(824)-254-1149,3683 Elm St,Houston,IL,17923,United States,794,109114.12,Personal
7901115,112-12-9673,James,Moore,1994-10-16,james.moore@example.com,(381)-648-5697,380 Elm St,Houston,CA,24026,United States,398,92926.25,Personal
9832465,358-55-5379,Patricia,Taylor,2001-04-26,patricia.taylor@example.com,(506)-180-7112,6752 2nd Ave,Phoenix,CA,39603,United States,607,112085.0,Personal
7799441,488-58-8798,James,Johnson,1935-01-13,james.johnson@example.com,(752)-109-3807,1454 2nd Ave,Houston,IL,84167,United States,397,137374.95,Personal
8977571,377-15-2218,Patricia,Jones,1991-05-28,patricia.jones@example.com,(387)-656-1539,3038 1st Ave,New York,CA,86943,United States,447,120270.54,Business
3725462,677-40-7375,Mary,Brown,1990-09-28,mary.brown@example.com,(653)-439-7288,2392 Main St,Phoenix,IL,17038,United States,400,82450.59,Personal
7655572,892-51-1485,Linda,Taylor,1986-11-21,linda.taylor@example.com,(379)-902-8381,8138 Broadway,Chicago,AZ,59207,United States,742,52288.54,Business
5955645,917-41-2204,Mary,Taylor,1937-05-12,mary.taylor@example.com,(374)-257-7225,2627 2nd Ave,Chicago,IL,23965,United States,393,30623.43,Business
5525929,204-26-2430,Barbara,Davis,1946-10-24,barbara.davis@example.com,(541)-559-9395,6785 Main St,New York,NY,56388,United States,395,101630.95,Business
5896386,523-59-2387,Michael,Smith,1995-01-11,michael.smith@example.com,(672)-348-9537,2878 2nd Ave,Los Angeles,CA,45247,United States,608,62208.82,Personal
8292657,382-63-5911,Mary,Williams,1973-06-11,mary.williams@example.com,(901)-178-6916,4223 Broadway,Houston,AZ,90828,United States,500,84943.4,Personal
7638609,440-89-7224,Robert,Smith,2002-02-19,robert.smith@example.com,(982)-437-8212,5584 2nd Ave,Phoenix,CA,49378,United States,628,102385.35,Personal
3980258,507-50-5775,Barbara,Davis,1995-12-06,barbara.davis@example.com,(811)-748-9044,9535 Broadway,Chicago,TX,46739,United States,702,73801.86,Personal
4018677,798-80-1440,Elizabeth,Moore,1995-03-30,elizabeth.moore@example.com,(572)-825-4434,7283 1st Ave,New York,TX,98208,United States,811,46701.49,Business
3586094,832-64-7176,Patricia,Brown,1936-08-20,patricia.brown@example.com,(559)-712-8851,9639 2nd Ave,Phoenix,AZ,64827,United States,337,124886.51,Business
2425760,211-41-6816,William,Taylor,1944-12-03,william.taylor@example.com,(762)-727-1725,9327 2nd Ave,Chicago,TX,23886,United States,310,41832.79,Personal
4708297,556-57-7408,William,Moore,1971-07-18,william.moore@example.com,(890)-795-9199,2569 1st Ave,New York,TX,23703,United States,602,79917.05,Personal
6843985,419-53-8460,Mary,Williams,2000-05-11,mary.williams@example.com,(311)-633-8912,5806 2nd Ave,New York,TX,69303,United States,626,38060.92,Personal
6755892,763-23-3692,Mary,Smith,1996-06-07,mary.smith@example.com,(349)-628-3858,9142 Broadway,Chicago,AZ,65885,United States,773,57822.67,Business
8250013,505-13-4232,John,Williams,1970-05-02,john.williams@example.com,(706)-539-7370,172 Broadway,Los Angeles,IL,18200,United States,404,125940.28,Personal
4306357,568-24-5298,Linda,Davis,1990-03-04,linda.davis@example.com,(983)-601-9646,5234 Elm St,Houston,AZ,61451,United States,416,71750.96,Business
5990296,729-85-2388,Elizabeth,Williams,1990-04-19,elizabeth.williams@example.com,(237)-420-2931,4008 1st Ave,New York,CA,58929,United States,444,91298.98,Business
7437584,533-33-8973,Elizabeth,Williams,1987-01-06,elizabeth.williams@example.com,(650)-810-3838,9191 Broadway,Houston,IL,28388,United States,491,67749.6,Business
7023677,109-72-3236,Elizabeth,Smith,1947-07-04,elizabeth.smith@example.com,(934)-493-9281,8209 2nd Ave,Houston,TX,68176,United States,800,50070.42,Personal
1548532,381-38-9808,Patricia,Brown,1955-11-25,patricia.brown@example.com,(272)-899-8492,9367 2nd Ave,Phoenix,AZ,24838,United States,416,62146.67,Business
8404902,659-37-7965,William,Smith,1939-03-10,william.smith@example.com,(853)-949-5055,4977 Main St,Houston,IL,55688,United States,389,82688.39,Personal
6882609,981-88-8015,Patricia,Jones,1944-11-21,patricia.jones@example.com,(730)-242-4385,3490 Main St,Phoenix,IL,79767,United States,587,101622.92,Personal
5854206,686-44-9428,Linda,Brown,1990-12-11,linda.brown@example.com,(934)-197-3221,6843 Main St,Chicago,CA,27392,United States,555,47549.21,Business
9211754,245-83-5402,Patricia,Miller,1986-04-29,patricia.miller@example.com,(524)-484-8405,1337 Main St,Houston,AZ,46467,United States,677,84563.48,Business
