card_id,customer_id,card_type,card_status,credit_limit,current_balance,available_credit,minimum_payment,payment_due_date,issue_date,expiration_date,security_code
889540688,5890112,Rewards,Expired,3814.44,2048.89,1765.55,32.95,2024-11-08,2024-08-28,2028-11-29,109
792667717,6797922,Business,Blocked,43994.37,30264.08,13730.29,735.69,2024-11-15,2023-06-19,2029-01-05,930
939433051,1597043,Cashback,Active,11853.33,755.15,11098.18,25.0,2024-11-03,2024-03-27,2027-12-30,995
502802760,6172869,Business,Blocked,18069.84,10747.22,7322.62,294.84,2024-11-15,2022-01-23,2026-06-19,985
324597117,8037458,Business,Blocked,13361.34,4600.54,8760.8,83.32,2024-11-05,2024-07-26,2026-11-22,479
796094676,1079251,Rewards,Active,4604.5,532.27,4072.23,25.0,2024-11-11,2023-10-09,2028-07-17,500
625745187,2060687,Cashback,Expired,10097.72,2630.07,7467.65,61.47,2024-11-08,2022-12-27,2025-05-30,999
641685288,4180688,Business,Active,36056.48,1500.15,34556.33,40.27,2024-11-13,2022-06-08,2028-06-25,746
746396981,9866179,Rewards,Blocked,9290.55,4484.32,4806.23,76.47,2024-11-12,2023-09-01,2026-02-02,210
254964709,4443657,Business,Blocked,45364.96,36256.76,9108.2,499.93,2024-11-15,2022-12-26,2026-07-23,435
178572633,4928017,Rewards,Blocked,12444.85,198.43,12246.42,25.0,2024-11-13,2022-12-01,2025-10-10,819
134499337,4732827,Rewards,Blocked,3412.59,1334.09,2078.5,26.51,2024-11-04,2022-03-02,2028-02-21,146
326089916,6307317,Cashback,Active,11974.27,6448.07,5526.2,151.9,2024-11-08,2023-02-11,2024-12-22,203
404104328,8445119,Cashback,Blocked,2798.03,61.72,2736.31,25.0,2024-11-15,2024-07-20,2025-04-29,139
269016808,6689563,Rewards,Active,13652.32,399.97,13252.35,25.0,2024-11-14,2023-09-01,2029-01-03,354
842777980,7446241,Business,Expired,48703.92,4931.77,43772.15,142.64,2024-11-14,2023-07-07,2029-06-10,448
194761074,8587981,Cashback,Blocked,5203.13,855.25,4347.88,25.0,2024-11-10,2022-05-12,2029-01-25,160
153290641,9996646,Rewards,Active,2933.07,21.59,2911.48,25.0,2024-11-03,2023-02-13,2028-09-21,576
660609848,4322536,Rewards,Expired,9303.99,6950.59,2353.4,146.52,2024-11-10,2022-09-06,2027-06-28,191
900914345,6031885,Business,Expired,28057.1,1964.77,26092.33,53.91,2024-11-01,2022-06-02,2026-11-21,616
938204624,5483845,Cashback,Active,2442.27,748.14,1694.13,25.0,2024-11-02,2024-07-07,2028-08-13,638
738109863,8357951,Cashback,Active,11323.83,5783.84,5539.99,133.58,2024-11-02,2023-11-23,2029-05-07,303
872438660,5455193,Business,Active,28638.31,4103.9,24534.41,63.57,2024-11-14,2023-10-20,2025-05-02,167
703143628,8167236,Rewards,Expired,12462.21,8460.39,4001.82,116.33,2024-11-02,2022-01-14,2026-04-13,566
702405406,4700636,Business,Expired,30400.35,19216.01,11184.34,494.71,2024-11-15,2024-11-09,2027-03-30,195
726191383,1129115,Cashback,Active,11661.83,281.54,11380.29,25.0,2024-11-09,2022-02-13,2029-06-23,441
287904148,5017296,Cashback,Expired,7092.81,1654.76,5438.05,25.0,2024-11-09,2023-01-13,2025-04-19,914
288940410,5102144,Rewards,Expired,9107.2,6643.09,2464.11,74.23,2024-11-06,2024-08-11,2027-03-20,607
980513894,8542815,Rewards,Active,13537.16,4666.58,8870.58,75.04,2024-11-13,2023-02-20,2024-12-15,226
751568385,6099052,Rewards,Active,5745.53,3742.94,2002.59,48.42,2024-11-10,2024-02-20,2025-11-30,650
932611923,1478006,Rewards,Expired,2026.18,1534.46,491.72,25.0,2024-11-09,2023-09-27,2029-07-11,428
658517307,6879592,Rewards,Active,7453.96,5708.99,1744.97,169.91,2024-11-15,2024-03-07,2029-01-12,104
299060719,3654330,Rewards,Blocked,4607.73,2552.34,2055.39,64.95,2024-11-13,2024-06-30,2027-05-20,232
347889783,5922343,Rewards,Active,13936.47,6986.17,6950.3,199.51,2024-11-10,2024-03-08,2027-03-21,773
832620400,3276586,Rewards,Expired,11318.01,4727.48,6590.53,133.66,2024-11-03,2024-02-01,2027-02-04,975
128290002,9652374,Rewards,Blocked,1579.39,43.74,1535.65,25.0,2024-11-13,2024-06-16,2028-04-10,546
638652624,8341730,Business,Blocked,27912.73,16021.62,11891.11,311.71,2024-11-13,2023-03-29,2029-05-16,562
142969924,7144871,Business,Expired,13083.92,2470.36,10613.56,35.92,2024-11-12,2024-05-29,2028-05-29,452
612339329,9033783,Rewards,Active,11859.89,3052.96,8806.93,45.74,2024-11-13,2022-09-15,2028-04-19,129
378862208,9907537,Rewards,Expired,5690.2,89.53,5600.67,25.0,2024-11-09,2023-06-17,2027-08-26,726
776328991,1744902,Business,Active,15666.48,10225.1,5441.38,268.53,2024-11-12,2022-04-08,2025-09-18,969
576074911,6623761,Cashback,Active,12652.34,4204.84,8447.5,50.64,2024-11-08,2022-07-29,2029-04-17,316
528224470,7720852,Rewards,Blocked,13802.95,136.02,13666.93,25.0,2024-11-08,2023-01-18,2025-12-20,474
139771748,9271952,Business,Expired,46360.78,23297.16,23063.62,284.0,2024-11-02,2024-06-24,2025-03-31,377
732544187,2052888,Rewards,Blocked,3535.64,2375.4,1160.24,67.61,2024-11-11,2022-05-12,2027-08-27,142
409573661,7506196,Rewards,Active,11232.73,1169.84,10062.89,30.28,2024-11-05,2022-09-18,2028-04-19,636
402304863,4389818,Cashback,Active,2955.76,479.02,2476.74,25.0,2024-11-13,2024-10-29,2028-12-22,266
838945132,7042367,Business,Expired,39710.02,3283.26,36426.76,87.26,2024-11-13,2024-05-30,2029-08-02,211
748367690,5600609,Business,Blocked,22417.71,17309.08,5108.63,467.41,2024-11-09,2023-05-20,2027-06-28,639
311363605,4522752,Business,Expired,29495.27,12874.77,16620.5,142.43,2024-11-02,2022-03-26,2029-03-10,215
338004050,2129335,Cashback,Active,5564.86,3283.86,2281.0,79.58,2024-11-12,2022-05-08,2026-09-14,823
950682294,6885963,Rewards,Active,4742.21,908.7,3833.51,25.12,2024-11-11,2024-11-15,2027-05-26,841
506769069,5713293,Cashback,Expired,5818.99,2044.54,3774.45,27.72,2024-11-06,2022-11-02,2028-02-06,980
758303528,9221433,Cashback,Active,7113.1,4215.35,2897.75,108.88,2024-11-15,2024-02-27,2028-04-04,127
805509388,2023013,Business,Active,19932.86,6227.61,13705.25,77.42,2024-11-13,2023-10-30,2025-12-14,850
729257350,5183200,Rewards,Blocked,2186.64,1188.51,998.13,25.0,2024-11-02,2022-05-05,2029-02-12,121
530371229,2492187,Business,Active,13185.36,6522.77,6662.59,81.74,2024-11-13,2022-11-09,2026-09-22,438
921605720,3523914,Business,Active,15477.97,9527.68,5950.29,274.19,2024-11-05,2024-10-30,2028-02-19,235
455439618,2447474,Rewards,Expired,4447.89,2752.78,1695.11,34.39,2024-11-12,2023-06-04,2027-11-21,563
411587581,2242562,Rewards,Active,5117.27,2277.59,2839.68,38.88,2024-11-13,2022-07-03,2027-04-23,155
568243649,4309081,Rewards,Active,14119.04,6210.94,7908.1,77.86,2024-11-07,2022-08-26,2028-03-09,839
605024447,7736978,Business,Expired,31328.78,3306.91,28021.87,39.58,2024-11-01,2024-05-29,2028-07-19,692
513089063,4908953,Business,Expired,28195.98,1701.73,26494.25,42.89,2024-11-08,2023-04-13,2028-03-03,142
138885594,5892896,Cashback,Expired,4965.02,315.3,4649.72,25.0,2024-11-04,2022-03-23,2029-03-20,119
781229971,1147293,Rewards,Active,13709.75,5729.11,7980.64,124.36,2024-11-05,2022-09-08,2027-07-22,255
607773430,4907399,Rewards,Blocked,3634.07,2161.75,1472.32,53.43,2024-11-13,2024-08-12,2029-06-01,501
371724833,8040196,Business,Blocked,48327.52,13791.46,34536.06,209.79,2024-11-13,2022-05-14,2025-02-12,370
813554178,3847149,Business,Active,47375.26,24972.19,22403.07,299.08,2024-11-13,2023-06-06,2029-02-26,767
704176031,1859052,Rewards,Expired,9716.92,1056.23,8660.69,25.0,2024-11-13,2023-01-13,2027-03-14,201
267995690,9949757,Cashback,Blocked,9182.7,5010.71,4171.99,144.09,2024-11-09,2024-02-02,2026-07-02,653
969680098,5026736,Rewards,Expired,5314.18,974.76,4339.42,25.0,2024-11-05,2024-01-04,2029-07-29,558
802733760,2941136,Business,Blocked,35530.82,4148.72,31382.1,93.86,2024-11-07,2024-02-08,2026-03-16,815
519233963,6381310,Rewards,Expired,12459.57,8502.67,3956.9,218.95,2024-11-05,2022-02-03,2027-05-23,910
467411102,2643732,Cashback,Active,8744.99,5447.09,3297.9,73.17,2024-11-13,2024-05-20,2029-07-24,161
843661999,2361191,Business,Blocked,21984.02,16815.66,5168.36,178.83,2024-11-02,2023-03-02,2029-05-08,660
368941549,4170043,Cashback,Active,8528.43,6284.78,2243.65,117.99,2024-11-14,2024-07-31,2027-04-28,561
569228385,3819527,Business,Expired,29147.78,4488.84,24658.94,102.22,2024-11-03,2022-01-28,2026-11-10,351
668605892,4508790,Business,Expired,16616.85,8931.86,7684.99,212.66,2024-11-13,2022-08-29,2025-05-02,455
635141063,6861300,Rewards,Blocked,4730.02,416.09,4313.93,25.0,2024-11-03,2023-05-09,2026-10-12,722
314036499,2530564,Cashback,Active,7417.17,3618.35,3798.82,96.12,2024-11-11,2022-03-05,2024-11-24,929
573340322,3484594,Rewards,Expired,4003.52,1381.22,2622.3,34.79,2024-11-02,2023-11-08,2027-04-27,573
837997689,1695443,Business,Expired,23108.43,7812.87,15295.56,88.86,2024-11-13,2023-08-21,2029-07-27,402
101246811,6689563,Rewards,Blocked,2986.81,1173.23,1813.58,25.0,2024-11-05,2024-01-03,2029-02-04,843
718430334,8865011,Cashback,Expired,8997.28,3045.41,5951.87,71.7,2024-11-09,2024-04-30,2026-03-21,799
283682208,9713746,Cashback,Expired,6737.65,964.92,5772.73,25.0,2024-11-05,2024-08-27,2028-03-27,973
306580093,1698823,Rewards,Blocked,2275.99,646.86,1629.13,25.0,2024-11-09,2023-12-22,2028-05-29,378
655180692,2561818,Rewards,Expired,9573.1,2089.11,7483.99,33.66,2024-11-12,2023-04-20,2026-06-12,801
571303826,1435350,Cashback,Expired,12119.34,7952.38,4166.96,237.98,2024-11-13,2023-09-07,2027-01-04,998
975525094,5189757,Rewards,Active,10711.99,5489.94,5222.05,125.71,2024-11-05,2022-06-30,2025-08-21,394
440954852,3323227,Rewards,Expired,10555.72,3503.45,7052.27,64.3,2024-11-10,2024-01-05,2028-08-28,666
951097018,4423760,Rewards,Expired,13464.65,3956.73,9507.92,105.53,2024-11-02,2024-05-11,2024-12-12,856
725620789,1068658,Business,Expired,24037.74,12970.3,11067.44,145.16,2024-11-08,2023-07-14,2027-03-05,252
657347568,6438840,Business,Active,24898.95,16650.59,8248.36,499.04,2024-11-07,2023-03-05,2028-03-20,732
892079290,4939384,Rewards,Expired,5619.44,1255.34,4364.1,25.0,2024-11-07,2023-08-09,2028-08-04,384
936424346,9637550,Cashback,Expired,1379.52,663.99,715.53,25.0,2024-11-09,2022-05-07,2028-02-05,703
792733502,6389340,Rewards,Active,4362.77,1551.96,2810.81,29.02,2024-11-01,2024-05-13,2025-09-26,608
405446462,9289384,Business,Blocked,14066.77,8468.87,5597.9,136.49,2024-11-09,2021-11-28,2026-03-02,219
712752405,7617164,Rewards,Expired,7063.76,1268.71,5795.05,26.32,2024-11-15,2022-08-22,2025-09-22,799
579768326,9168796,Cashback,Active,11829.97,3536.64,8293.33,49.31,2024-11-07,2024-08-16,2028-03-16,661
292958148,6693751,Rewards,Active,2735.94,2036.38,699.56,44.96,2024-11-07,2022-09-29,2027-04-23,711
719334794,9795145,Business,Active,19341.63,396.87,18944.76,25.0,2024-11-05,2024-01-04,2026-05-13,644
417956688,8177632,Cashback,Blocked,3079.05,231.36,2847.69,25.0,2024-11-15,2024-07-02,2025-12-17,544
727927957,2660730,Rewards,Active,6219.45,837.96,5381.49,25.0,2024-11-04,2022-10-24,2025-11-13,976
268543899,5837225,Cashback,Expired,8740.89,1380.56,7360.33,25.0,2024-11-07,2024-02-14,2025-04-04,691
999223024,2343939,Cashback,Blocked,14639.87,5205.27,9434.6,88.11,2024-11-06,2023-11-30,2028-10-07,536
372148348,9572492,Cashback,Expired,4083.28,1597.12,2486.16,40.54,2024-11-05,2022-04-24,2025-01-22,588
441788911,3041773,Cashback,Active,4899.76,770.85,4128.91,25.0,2024-11-10,2023-10-09,2029-09-05,170
592807557,4484938,Business,Blocked,36437.1,16191.85,20245.25,390.28,2024-11-11,2022-10-04,2028-10-02,562
104684866,8180332,Cashback,Blocked,1894.6,285.91,1608.69,25.0,2024-11-02,2024-06-14,2029-05-22,285
443656131,9165963,Cashback,Expired,6996.89,3802.52,3194.37,94.9,2024-11-04,2022-06-30,2028-03-29,480
235317698,2760859,Rewards,Blocked,1181.01,403.11,777.9,25.0,2024-11-01,2023-02-27,2028-01-12,472
330151166,7257735,Rewards,Expired,7373.02,2347.93,5025.09,56.72,2024-11-07,2024-08-27,2025-03-05,376
465613145,8777456,Cashback,Expired,4188.2,3180.71,1007.49,50.98,2024-11-03,2023-08-27,2028-06-02,400
896975279,4550852,Cashback,Expired,2080.14,867.46,1212.68,25.0,2024-11-09,2022-03-19,2029-05-31,503
523390841,5738309,Cashback,Active,11797.21,4960.36,6836.85,145.44,2024-11-06,2022-01-24,2025-03-17,382
316809845,7397930,Business,Expired,17454.1,9412.75,8041.35,110.43,2024-11-13,2024-03-05,2025-01-14,898
405840446,8630888,Business,Expired,20226.11,14082.31,6143.8,261.35,2024-11-08,2023-08-02,2029-07-23,748
220253952,9849106,Business,Active,14638.75,2035.53,12603.22,47.33,2024-11-05,2024-03-25,2027-03-16,885
375577504,4511869,Cashback,Active,12398.1,4090.24,8307.86,84.99,2024-11-12,2023-03-23,2025-09-06,984
515538709,2012492,Cashback,Active,14267.58,2061.51,12206.07,57.15,2024-11-01,2024-08-22,2026-01-28,259
758214161,8678167,Business,Blocked,33596.57,26788.21,6808.36,590.67,2024-11-06,2022-05-29,2026-10-16,696
977155803,3678356,Rewards,Blocked,3030.64,427.35,2603.29,25.0,2024-11-12,2023-01-29,2025-03-07,238
140530794,8609368,Rewards,Active,13385.65,3660.64,9725.01,38.83,2024-11-14,2023-02-23,2025-04-25,979
953212998,5864636,Business,Blocked,11835.87,7995.43,3840.44,137.54,2024-11-02,2022-03-16,2025-05-04,294
862846139,7087067,Rewards,Expired,8252.02,1857.43,6394.59,50.82,2024-11-04,2022-01-01,2026-03-02,692
749925329,4990676,Rewards,Blocked,5232.11,3088.14,2143.97,88.04,2024-11-11,2023-12-31,2026-03-23,597
589848205,7694402,Business,Active,16308.83,4657.5,11651.33,84.38,2024-11-05,2022-05-03,2026-12-16,349
761013647,5490704,Cashback,Blocked,11656.11,2710.28,8945.83,47.32,2024-11-03,2022-10-27,2027-10-26,299
464623556,6511674,Business,Active,40833.92,23327.58,17506.34,333.96,2024-11-08,2022-11-09,2029-03-31,269
110303210,5124760,Business,Blocked,45244.82,13519.46,31725.36,260.28,2024-11-08,2024-07-20,2027-04-26,310
142024221,9459530,Rewards,Blocked,3830.23,860.34,2969.89,25.31,2024-11-02,2023-03-14,2028-12-19,640
363645508,3164721,Business,Expired,35096.37,13808.08,21288.29,308.78,2024-11-05,2022-07-22,2025-05-06,606
814447318,7222831,Business,Expired,22190.04,742.28,21447.76,25.0,2024-11-01,2024-09-23,2029-09-08,146
273531116,9465746,Rewards,Expired,4941.4,986.77,3954.63,26.7,2024-11-05,2021-12-29,2027-01-04,696
690129487,9107236,Rewards,Active,10763.03,7264.07,3498.96,103.34,2024-11-04,2022-08-03,2027-06-16,903
157437413,4914715,Business,Expired,17047.59,4656.15,12391.44,54.18,2024-11-01,2022-07-07,2029-01-23,885
537234197,9505720,Business,Blocked,35824.97,4675.59,31149.38,122.24,2024-11-04,2021-12-16,2027-03-01,810
335292958,3108120,Rewards,Active,5376.47,2392.96,2983.51,65.81,2024-11-02,2023-04-30,2027-10-21,276
920802183,1006089,Business,Blocked,33381.35,11918.06,21463.29,294.99,2024-11-12,2024-05-01,2028-10-16,417
399112511,4398462,Business,Expired,42705.92,690.08,42015.84,25.0,2024-11-05,2024-05-20,2029-02-22,207
770188780,3840964,Business,Active,42045.84,21446.28,20599.56,338.79,2024-11-12,2023-07-23,2028-05-12,418
910658173,5367554,Cashback,Expired,12808.58,2788.33,10020.25,73.91,2024-11-07,2024-03-26,2029-04-26,147
916258386,4360723,Rewards,Blocked,1765.0,650.65,1114.35,25.0,2024-11-08,2023-04-10,2026-08-18,606
474689301,5087623,Business,Expired,36286.82,11523.51,24763.31,328.97,2024-11-13,2024-04-21,2025-10-17,419
164320009,9303574,Business,Active,26992.76,17231.35,9761.41,474.33,2024-11-14,2022-08-06,2024-12-03,576
991187066,2289258,Business,Expired,47308.35,26261.78,21046.57,619.07,2024-11-02,2023-05-25,2026-11-14,701
281092453,4655162,Business,Blocked,11085.65,8236.55,2849.1,212.07,2024-11-15,2022-01-02,2025-03-07,456
338725977,8109269,Business,Expired,33665.04,17957.3,15707.74,478.7,2024-11-02,2024-07-01,2027-12-21,214
799430007,3414445,Rewards,Blocked,11916.51,1315.84,10600.67,31.04,2024-11-12,2022-10-11,2027-02-13,577
548783101,8687063,Cashback,Blocked,4126.67,364.82,3761.85,25.0,2024-11-04,2023-07-10,2025-07-08,697
129971651,7418490,Business,Active,24552.19,2396.84,22155.35,49.36,2024-11-03,2022-03-31,2026-10-09,570
364739178,4328987,Business,Active,17590.84,4649.79,12941.05,135.6,2024-11-05,2023-04-30,2029-04-18,610
586994449,7550190,Business,Active,34983.02,14968.86,20014.16,326.77,2024-11-01,2024-06-04,2026-08-15,253
800418497,1553932,Cashback,Expired,13790.31,9899.06,3891.25,154.05,2024-11-01,2022-05-14,2027-05-08,151
909994900,2121495,Business,Active,37562.44,4179.41,33383.03,120.07,2024-11-11,2022-10-03,2028-08-22,689
701276675,4244814,Rewards,Active,11926.84,3404.91,8521.93,41.68,2024-11-04,2023-03-24,2026-03-01,309
165140495,4837167,Rewards,Expired,13753.24,2616.72,11136.52,73.71,2024-11-13,2024-08-01,2028-08-02,996
459836006,2941623,Business,Active,33829.27,21991.93,11837.34,252.86,2024-11-04,2023-02-15,2025-09-24,252
429589201,6218480,Cashback,Expired,1344.35,685.64,658.71,25.0,2024-11-10,2023-09-28,2028-12-01,201
328433974,9418744,Rewards,Expired,4053.24,1891.07,2162.17,30.34,2024-11-08,2023-05-03,2028-03-27,789
562184340,8718190,Cashback,Expired,8151.37,5613.77,2537.6,56.94,2024-11-07,2022-06-23,2028-09-09,384
317684136,5726417,Business,Expired,44792.55,197.34,44595.21,25.0,2024-11-04,2022-09-20,2026-07-11,681
475296301,3433066,Cashback,Active,11325.49,5281.62,6043.87,87.8,2024-11-10,2022-12-13,2028-12-21,332
516367462,6584506,Business,Expired,19233.94,390.81,18843.13,25.0,2024-11-05,2024-11-13,2029-02-04,883
758404385,5080351,Business,Active,36467.97,27200.25,9267.72,428.64,2024-11-03,2023-10-03,2026-02-26,350
990351289,3708820,Business,Blocked,35767.64,12412.93,23354.71,287.92,2024-11-14,2022-05-23,2025-04-06,291
854125007,1035469,Business,Blocked,30386.67,4641.16,25745.51,125.28,2024-11-14,2023-06-13,2025-04-03,593
619525034,8072273,Cashback,Blocked,9887.35,1101.28,8786.07,25.0,2024-11-03,2021-12-03,2024-12-08,530
579945397,6110378,Rewards,Active,8652.35,6238.13,2414.22,83.67,2024-11-14,2023-08-02,2026-02-12,788
152314830,6312656,Rewards,Active,7379.4,1130.7,6248.7,27.84,2024-11-15,2023-03-28,2028-07-01,761
605683325,9881845,Business,Active,19358.37,8559.47,10798.9,177.36,2024-11-02,2022-03-21,2025-09-13,220
839430638,9384720,Business,Expired,38024.83,11615.94,26408.89,274.99,2024-11-10,2024-04-03,2028-02-08,555
764424646,3207796,Cashback,Blocked,3420.45,1153.33,2267.12,25.0,2024-11-12,2024-03-20,2027-12-13,643
675087903,9268738,Cashback,Blocked,3614.33,1389.83,2224.5,25.0,2024-11-01,2023-10-24,2024-11-27,713
378576936,4906454,Rewards,Expired,12478.76,7671.39,4807.37,175.68,2024-11-04,2024-03-30,2028-12-23,895
