acct_num,cust_number,product_type,currency,balance,usable_balance,min_balance,rate,aba_number,creation_date,branch_code,account_category
995873,3270490,Savings,USD,126848.58,124049.08,100,0.0495,365096279,2023-02-23,4441,Joint
389257,6939791,Checking,USD,611175.0,556538.83,0,0.0447,824085541,2020-05-31,4669,Joint
850852,7603916,Savings,USD,797912.12,787084.13,100,0.0332,447626805,2023-04-15,3226,Individual
761437,8534062,Savings,USD,54506.22,49058.14,100,0.0488,614909791,2021-09-02,7281,Individual
966695,5553521,Savings,USD,924030.33,870905.8,100,0.0496,106152293,2020-12-13,9528,Individual
377862,4639503,Savings,USD,638444.18,583510.0,100,0.0248,530162023,2021-12-12,8713,Joint
979009,9491306,Checking,USD,578455.35,560643.21,0,0.0188,483856917,2021-11-04,1408,Joint
452959,7481173,Checking,USD,360350.9,346970.95,0,0.0212,210750519,2023-11-13,4008,Individual
445052,1266641,Checking,USD,410203.1,379696.53,0,0.0116,829675657,2020-03-29,9970,Individual
940046,8836565,Savings,USD,574485.3,560168.11,100,0.0177,566620124,2022-01-09,7377,Individual
544198,8793803,Checking,USD,492177.2,483327.9,0,0.0375,372928543,2022-08-03,6101,Individual
200714,4624716,Savings,USD,801374.64,763547.51,100,0.0292,621827278,2022-07-02,9682,Joint
956372,3793785,Savings,USD,576120.58,553031.23,100,0.0443,874161654,2023-03-21,8963,Joint
556191,2236397,Savings,USD,829239.68,754229.99,100,0.0336,397941615,2024-07-08,9857,Individual
658053,3511981,Checking,USD,969288.78,900100.79,0,0.0497,993838052,2024-09-25,8055,Joint
657904,3530604,Savings,USD,898391.7,833170.34,100,0.0445,801709554,2020-05-21,7364,Individual
561999,1923734,Checking,USD,679813.68,658559.6,0,0.0351,214232756,2021-07-04,3053,Individual
338109,5342524,Savings,USD,656322.02,605808.42,100,0.0257,141696860,2021-09-20,5643,Individual
568867,8031853,Checking,USD,198643.2,192570.52,0,0.0297,442937629,2022-12-27,2888,Individual
336649,7875190,Savings,USD,782988.68,728470.06,100,0.0225,895178875,2024-05-31,4464,Joint
868715,3535788,Checking,USD,890686.38,880905.0,0,0.048,997840366,2023-12-30,6545,Individual
977233,5311192,Savings,USD,987071.81,953382.23,100,0.0114,852776333,2024-08-11,2728,Joint
498271,6759537,Checking,USD,664912.59,622015.17,0,0.0313,404729523,2023-07-31,8546,Individual
411042,4052535,Savings,USD,201442.32,184064.5,100,0.0127,287152633,2021-03-13,2723,Individual
388927,5901261,Savings,USD,168728.63,154405.72,100,0.0416,766069984,2020-04-14,5134,Individual
892402,5263430,Savings,USD,448482.69,414431.35,100,0.0321,869098532,2019-12-26,5725,Individual
723578,4065157,Checking,USD,318222.55,310146.3,0,0.0104,302407132,2022-08-17,7434,Individual
254333,6246951,Savings,USD,855909.83,793733.56,100,0.0192,388977375,2024-10-20,1370,Individual
774075,4725871,Checking,USD,763720.12,707057.31,0,0.0209,246620198,2021-03-10,4246,Joint
318188,4557877,Checking,USD,285177.21,280280.16,0,0.0423,347765933,2022-04-30,5174,Individual
544489,5369722,Savings,USD,834816.68,824134.13,100,0.049,854133504,2021-06-06,9531,Joint
581872,3761100,Savings,USD,21437.88,20929.52,100,0.0239,934444352,2022-10-16,2078,Individual
866351,2760856,Checking,USD,276791.29,271032.47,0,0.0168,869304113,2023-07-19,7200,Individual
837177,9360751,Checking,USD,653648.71,593114.36,0,0.0384,843354376,2021-09-07,5056,Individual
690780,5858515,Checking,USD,699855.59,690331.69,0,0.0191,283775774,2020-09-05,1059,Joint
487078,9659526,Savings,USD,804126.72,727106.23,100,0.0377,508417571,2020-10-06,3795,Individual
941762,3910053,Savings,USD,441526.25,401117.36,100,0.0198,816720283,2021-02-19,2671,Joint
847665,2834350,Savings,USD,554966.18,502146.89,100,0.0405,941409649,2024-11-12,7140,Joint
957151,1434367,Checking,USD,283178.81,263609.77,0,0.0213,485055874,2021-01-03,2948,Joint
503723,5312912,Checking,USD,510468.6,486787.34,0,0.0333,638585317,2021-12-19,9293,Joint
382608,9429417,Savings,USD,53585.58,53098.51,100,0.0121,282593214,2023-07-04,3425,Individual
762327,8864216,Checking,USD,440226.31,417058.05,0,0.0307,694695586,2021-01-20,2416,Individual
187742,2757672,Savings,USD,406956.21,391804.7,100,0.0144,307388982,2020-03-25,8233,Joint
696528,9093268,Checking,USD,951702.88,904742.06,0,0.0302,580661987,2022-02-18,6486,Joint
194025,7359623,Checking,USD,575190.36,557408.59,0,0.0388,582036760,2022-03-16,2868,Individual
871036,9272873,Checking,USD,464331.25,443645.06,0,0.0415,912961755,2022-03-28,5782,Joint
348923,3358634,Checking,USD,481653.83,456294.28,0,0.0474,872507227,2024-07-11,6966,Individual
872398,4789292,Savings,USD,342339.95,311312.99,100,0.0331,348536071,2021-05-09,6121,Joint
119920,9718700,Checking,USD,100905.9,92004.94,0,0.0423,239481431,2024-09-15,6529,Individual
131462,1485669,Savings,USD,199390.67,180778.82,100,0.0109,141543712,2020-03-06,8182,Individual
642885,5723078,Savings,USD,476618.18,442687.61,100,0.0434,724148282,2021-01-02,8967,Individual
100252,4160157,Checking,USD,95000.71,85844.08,0,0.0456,475520427,2020-08-25,7455,Joint
256558,3931561,Checking,USD,418037.15,384804.83,0,0.0115,509281005,2022-05-29,3803,Individual
742598,8879863,Checking,USD,106142.21,101938.2,0,0.045,299068749,2024-07-15,2362,Joint
342442,1049569,Checking,USD,849439.07,823957.73,0,0.0482,132301851,2021-08-09,8691,Joint
937005,3863528,Savings,USD,665637.04,610190.63,100,0.0349,871976093,2020-05-04,9178,Individual
274024,5400534,Checking,USD,76967.73,74997.58,0,0.0244,547729999,2021-06-22,1044,Individual
874162,4019092,Checking,USD,629246.92,577766.79,0,0.035,990816464,2020-02-27,2681,Individual
926432,6373342,Checking,USD,482439.09,448543.65,0,0.0264,946555649,2022-01-28,7128,Joint
819241,2845418,Savings,USD,11129.18,10659.33,100,0.044,828803991,2024-06-20,2814,Individual
994332,4509845,Savings,USD,203135.94,192851.45,100,0.0202,942170004,2021-07-09,7807,Individual
447047,8932635,Checking,USD,809858.24,781575.74,0,0.0448,773342612,2023-07-14,3927,Joint
895217,2024581,Savings,USD,973896.1,961995.08,100,0.0394,921205235,2022-03-30,7599,Joint
399346,2363690,Savings,USD,789393.45,726964.71,100,0.0358,468651597,2021-05-22,8905,Individual
950891,8241344,Checking,USD,59543.89,56022.97,0,0.028,482200585,2022-05-20,2343,Individual
532549,3308837,Checking,USD,623934.38,583477.75,0,0.0383,474633427,2021-07-14,9986,Individual
536687,6525873,Checking,USD,177859.03,175142.66,0,0.0294,824488829,2022-03-01,2678,Individual
581577,2208776,Checking,USD,553336.11,500858.91,0,0.0168,253327303,2020-07-10,4587,Joint
505851,8386304,Savings,USD,867094.39,859521.91,100,0.0108,265521283,2024-07-05,1947,Individual
530033,8685773,Checking,USD,594772.49,572608.43,0,0.0206,973393209,2020-07-30,9755,Individual
457655,6359671,Savings,USD,815720.8,774260.54,100,0.047,927098985,2023-07-14,6435,Joint
395997,3105767,Checking,USD,783073.15,754732.03,0,0.0177,618917287,2023-09-17,9537,Joint
927317,7420553,Savings,USD,580399.36,531472.81,100,0.0262,734083028,2024-03-25,6606,Individual
822065,9567985,Savings,USD,457641.04,415312.38,100,0.0469,233503510,2024-07-03,4071,Individual
960185,4960797,Savings,USD,459430.95,432918.85,100,0.0395,605327387,2024-01-03,4858,Individual
331971,9917153,Savings,USD,216294.22,209475.94,100,0.0103,685483364,2021-03-16,5489,Joint
495925,3352318,Checking,USD,489843.8,469612.1,0,0.0229,242318613,2021-10-14,2899,Joint
835703,1944260,Savings,USD,39962.92,39637.6,100,0.0461,635806313,2020-02-09,1791,Individual
332307,6466533,Savings,USD,242103.3,241107.02,100,0.0242,608498747,2019-12-25,5637,Individual
551714,8077035,Checking,USD,544055.94,527521.9,0,0.0313,830679293,2022-08-23,4810,Individual
640976,7006992,Savings,USD,193040.35,181652.03,100,0.0382,791761996,2022-12-11,7370,Individual
559033,9587184,Savings,USD,640005.46,583924.86,100,0.0316,296575104,2023-01-20,6775,Individual
910468,7625146,Checking,USD,687413.49,682211.05,0,0.0294,115379213,2021-06-26,3707,Individual
643817,9550145,Savings,USD,187303.59,180486.45,100,0.0476,450546890,2021-04-11,9863,Joint
988369,6813319,Savings,USD,633164.83,592439.51,100,0.011,597970019,2024-07-22,4241,Joint
156271,6440526,Checking,USD,878488.18,830243.36,0,0.0112,727616867,2021-05-27,6001,Joint
267943,1817182,Checking,USD,928907.45,881056.28,0,0.0193,484195070,2023-06-18,7945,Individual
204312,5149410,Checking,USD,212666.44,204736.08,0,0.041,810074655,2022-01-21,2163,Individual
788537,4594950,Checking,USD,926988.95,834906.72,0,0.0407,325098969,2020-12-15,8909,Joint
275967,4400815,Savings,USD,169446.86,159704.08,100,0.0378,259152347,2021-06-28,3201,Joint
801956,2514140,Checking,USD,741317.53,693102.5,0,0.0121,488640343,2020-08-10,7309,Individual
508226,3923020,Savings,USD,694390.3,625905.4,100,0.0459,519045218,2020-07-09,6030,Joint
830429,7255608,Checking,USD,763076.71,741750.0,0,0.0182,603212207,2022-08-23,7374,Joint
718333,2826402,Savings,USD,793419.45,717167.37,100,0.0182,696511215,2021-05-31,3882,Joint
783909,3332502,Checking,USD,161340.44,152239.4,0,0.0472,334115859,2020-03-13,6074,Individual
165108,8633310,Savings,USD,24849.75,23873.97,100,0.0322,248215902,2022-08-15,7837,Individual
805069,5809541,Savings,USD,826165.37,784925.54,100,0.0416,824955499,2023-03-19,9336,Individual
215913,5077673,Savings,USD,360750.53,333842.08,100,0.018,392390820,2023-07-10,1390,Joint
275190,2597440,Savings,USD,4473.8,4436.49,100,0.0377,321928945,2020-05-28,6926,Individual
499212,3008316,Checking,USD,722310.99,657217.52,0,0.0296,729387107,2024-02-09,8625,Individual
395124,7887795,Checking,USD,571736.02,554319.72,0,0.0464,299546075,2021-06-01,7521,Individual
388354,4701218,Checking,USD,630390.61,580117.57,0,0.0131,181512389,2021-05-15,2734,Joint
350496,4050694,Checking,USD,253150.23,252147.69,0,0.0108,824977997,2024-11-06,5930,Joint
935933,3177667,Savings,USD,491406.81,481686.92,100,0.0101,628635925,2020-12-26,1994,Individual
870802,6081276,Checking,USD,624763.19,616005.16,0,0.0449,572540315,2021-08-29,9227,Individual
544537,8938746,Checking,USD,145426.51,133665.74,0,0.0194,290316525,2021-02-28,2294,Joint
438441,1352649,Checking,USD,483499.94,467658.61,0,0.0347,239120879,2024-01-07,6706,Joint
768386,2722661,Checking,USD,571309.86,542051.92,0,0.0379,546288627,2020-09-19,3759,Individual
437161,1104637,Savings,USD,619031.97,598881.0,100,0.0375,506411275,2020-02-13,4412,Joint
616712,9532366,Checking,USD,176360.25,173463.63,0,0.0122,732766465,2022-01-25,4333,Individual
341304,5390581,Checking,USD,773685.41,734227.36,0,0.0301,410589060,2020-03-21,6952,Joint
439945,7222641,Checking,USD,991425.87,968681.91,0,0.0467,706341329,2023-01-23,3236,Individual
787810,8924368,Savings,USD,358631.53,330540.78,100,0.0258,968670952,2020-03-15,4916,Individual
890872,9245895,Checking,USD,602515.75,591158.18,0,0.0112,769517650,2023-02-08,9030,Joint
278513,9473649,Checking,USD,694154.6,684931.56,0,0.0484,615979296,2024-07-30,4183,Joint
374887,5809793,Savings,USD,812634.12,760435.63,100,0.0262,387775310,2022-09-10,1326,Joint
490307,6656890,Checking,USD,679963.38,649483.13,0,0.0412,437381689,2020-05-14,9983,Individual
781923,2826783,Checking,USD,695696.3,629171.58,0,0.0185,744738933,2024-03-13,4137,Joint
154664,9432761,Savings,USD,397005.12,357381.25,100,0.0305,926230212,2020-01-02,6331,Individual
409426,8205572,Savings,USD,117140.39,110512.4,100,0.0437,857244077,2021-11-18,1816,Individual
977074,1592675,Checking,USD,984883.38,909674.28,0,0.0246,146873483,2024-06-03,6198,Individual
937702,2259303,Savings,USD,821374.17,747300.23,100,0.0402,981066551,2024-10-22,1066,Individual
395956,1160447,Checking,USD,584206.59,549638.88,0,0.0145,998086405,2020-07-25,2930,Individual
774774,3417839,Savings,USD,138630.08,125819.48,100,0.0221,355443287,2023-07-09,6283,Joint
932626,3418817,Checking,USD,900483.34,827754.5,0,0.0464,177031745,2023-05-08,3745,Individual
768989,7623835,Checking,USD,816410.47,799064.42,0,0.0394,674082438,2022-01-13,2951,Individual
591008,1537411,Savings,USD,837795.89,804202.82,100,0.0485,789523301,2020-02-11,3609,Individual
207910,8722083,Checking,USD,362782.4,348493.69,0,0.0233,427165214,2021-01-20,8947,Joint
950332,9303216,Checking,USD,291968.46,272000.86,0,0.0136,901745609,2020-05-18,7655,Joint
932200,5805522,Savings,USD,41374.15,40273.13,100,0.0462,528413283,2022-03-15,1824,Joint
219048,7286088,Savings,USD,506449.36,493362.08,100,0.023,176868215,2022-01-31,1555,Individual
520110,9793479,Checking,USD,560255.46,525418.77,0,0.0355,881304409,2020-03-12,4385,Joint
431927,3633716,Savings,USD,971941.49,877331.68,100,0.0238,737399725,2024-03-16,7395,Joint
698065,2306334,Checking,USD,235334.28,215741.54,0,0.0352,512150645,2023-07-23,1875,Joint
415055,7638035,Checking,USD,745745.8,742054.0,0,0.0198,701630652,2021-11-10,3365,Joint
853502,9405715,Checking,USD,111942.41,104452.55,0,0.0216,349772362,2020-09-09,2007,Individual
248380,4911599,Checking,USD,765631.66,759316.19,0,0.0439,373590260,2020-06-23,6475,Individual
674365,3635644,Checking,USD,500999.31,472870.78,0,0.0328,156505325,2021-02-22,3383,Joint
857612,9925405,Savings,USD,128678.8,123904.77,100,0.016,449743834,2020-01-01,4775,Individual
855053,9996681,Checking,USD,428389.8,408285.34,0,0.0147,917722880,2023-03-14,7162,Joint
987252,9700526,Checking,USD,500049.85,488170.65,0,0.0279,503860379,2020-10-25,2901,Joint
884616,7562626,Checking,USD,572167.05,525436.85,0,0.0475,819385012,2024-01-24,1407,Individual
749746,3356197,Checking,USD,287639.35,274445.71,0,0.0328,190867826,2020-04-13,8044,Individual
377679,1839436,Savings,USD,468025.39,462889.17,100,0.0114,989436976,2022-09-30,3347,Individual
762194,8794006,Checking,USD,588071.32,562278.75,0,0.0467,129576850,2023-09-01,1960,Joint
351396,3523914,Savings,USD,985723.62,910959.54,100,0.0477,538886517,2022-03-02,8934,Joint
865616,6170420,Checking,USD,160950.2,160518.0,0,0.0311,533962953,2021-01-13,8180,Individual
236365,5033238,Savings,USD,483578.17,478164.09,100,0.0447,916000302,2022-06-30,5001,Joint
627295,6410293,Savings,USD,153358.74,150358.36,100,0.0323,590323080,2020-11-05,9657,Joint
100604,9872064,Savings,USD,913377.42,899644.97,100,0.0311,691561334,2021-02-10,5168,Individual
978588,8328604,Savings,USD,696061.92,636614.29,100,0.0163,328455067,2021-07-01,9800,Joint
531776,1062138,Savings,USD,278664.93,273629.59,100,0.0436,920165837,2024-05-10,2617,Joint
213581,2121337,Savings,USD,918302.18,898120.15,100,0.0295,145496061,2022-01-10,4073,Individual
450320,6622851,Savings,USD,942314.12,927873.07,100,0.0173,211439265,2020-08-13,5979,Individual
239295,7206615,Savings,USD,531675.3,506430.22,100,0.0487,146948234,2021-08-27,5227,Individual
889697,3836730,Checking,USD,704512.6,649593.49,0,0.0404,440144899,2023-09-09,2243,Individual
420115,2373812,Savings,USD,184797.45,171656.29,100,0.0203,100555691,2021-05-13,3847,Joint
229510,8592350,Checking,USD,115911.47,115825.63,0,0.0229,845213407,2021-05-06,2945,Joint
892271,5263430,Checking,USD,921992.06,903753.01,0,0.042,382368174,2022-02-04,8425,Individual
282775,8896929,Savings,USD,362017.66,359530.08,100,0.0368,253735493,2020-10-05,5105,Joint
111690,3209496,Savings,USD,521649.29,495476.25,100,0.0466,750019935,2023-06-15,8126,Individual
892541,7687717,Checking,USD,260209.07,244515.97,0,0.0388,581106249,2022-08-01,2531,Joint
365180,4509845,Checking,USD,399799.04,368670.9,0,0.0211,151483001,2020-06-20,5931,Individual
130628,1332715,Checking,USD,437304.9,402597.1,0,0.02,742519439,2022-05-16,9669,Individual
551096,1072867,Savings,USD,25071.22,23664.82,100,0.0194,586004391,2024-04-16,7003,Individual
958206,5277457,Checking,USD,927466.83,846499.01,0,0.0249,440912174,2020-11-20,5623,Joint
203287,1879109,Savings,USD,162191.41,156254.14,100,0.0314,703061720,2023-04-19,2095,Joint
554593,1971131,Checking,USD,875547.74,826763.75,0,0.0267,182716159,2023-01-07,9464,Individual
280761,1817182,Checking,USD,671469.58,612008.77,0,0.0192,388393199,2023-06-23,6610,Joint
574821,1529089,Savings,USD,835248.97,804197.13,100,0.0173,998805979,2024-10-17,2759,Individual
274471,7818029,Savings,USD,237608.89,221740.61,100,0.0339,241402341,2024-05-10,5150,Joint
780443,2088792,Checking,USD,70353.22,66978.52,0,0.0442,475023394,2020-06-20,1460,Joint
985391,8393014,Checking,USD,986854.25,977269.33,0,0.0399,685136885,2022-08-26,5458,Individual
250129,3141322,Savings,USD,4312.1,4125.96,100,0.048,751108185,2023-04-25,3776,Individual
482117,6360912,Savings,USD,1313.15,1198.87,100,0.042,204767855,2021-07-02,6053,Joint
414766,7820586,Savings,USD,145195.11,137175.46,100,0.0215,503083047,2020-11-11,9269,Joint
701055,9118064,Savings,USD,81640.84,77304.42,100,0.0417,731104827,2022-09-08,7759,Joint
340023,1519253,Checking,USD,471553.47,462385.71,0,0.0192,664193886,2021-06-14,8264,Joint
752022,4604727,Checking,USD,26174.38,24878.89,0,0.0296,459746371,2021-03-16,3481,Individual
939092,4568718,Savings,USD,457453.7,446699.6,100,0.0467,551006165,2021-10-13,6852,Joint
814768,2847745,Savings,USD,572463.63,539995.56,100,0.0367,666771814,2024-05-09,8517,Individual
867735,1426909,Checking,USD,91171.37,82308.7,0,0.026,425377104,2024-05-20,1572,Individual
652447,7720426,Savings,USD,360550.38,337622.15,100,0.0318,441168516,2024-08-28,8657,Individual
618048,1890761,Checking,USD,821762.92,740192.44,0,0.0187,589679919,2021-12-17,9175,Joint
411963,9922065,Checking,USD,950867.35,893813.36,0,0.0335,842889907,2023-01-03,9801,Individual
256895,7558391,Savings,USD,826041.89,787143.85,100,0.0126,589120552,2023-06-05,2900,Individual
316371,3096067,Savings,USD,591420.4,577882.13,100,0.0269,319375183,2020-07-07,4277,Individual
108324,2973110,Checking,USD,971078.13,948302.24,0,0.0291,976392159,2021-11-27,6685,Individual
661682,6574313,Checking,USD,313957.54,284223.06,0,0.0285,135581052,2020-09-17,3247,Individual
725455,8037458,Checking,USD,278296.23,270280.25,0,0.0217,836996674,2024-11-15,2857,Individual
677962,7103001,Checking,USD,132520.75,128606.77,0,0.0301,772880164,2020-05-22,5159,Individual
934429,9111121,Checking,USD,725987.74,676968.31,0,0.0196,454050580,2022-07-28,8559,Joint
476662,3266032,Savings,USD,376672.65,373847.89,100,0.0487,117547248,2020-07-25,9259,Individual
901295,4016177,Checking,USD,353750.97,349116.06,0,0.0286,930354898,2023-06-22,6976,Joint
138765,6659799,Savings,USD,479861.63,437594.79,100,0.0489,820767483,2022-12-28,6357,Individual
101088,6659799,Savings,USD,467121.97,454723.11,100,0.0157,823457450,2023-01-05,5355,Individual
271859,3993713,Savings,USD,386642.01,367113.94,100,0.0333,543425392,2021-12-07,3779,Joint
523037,6715341,Savings,USD,581868.96,576868.75,100,0.049,661264012,2023-06-24,5889,Joint
791265,5162939,Savings,USD,914824.01,898593.3,100,0.0329,464223614,2022-01-20,6884,Individual
709357,5149410,Savings,USD,925674.72,854295.32,100,0.0224,980206107,2020-11-11,1297,Individual
608050,7839559,Checking,USD,283081.35,255602.39,0,0.0213,120753706,2021-03-02,1666,Joint
394485,3905217,Savings,USD,499251.91,477030.72,100,0.0346,712781858,2022-11-17,7517,Joint
883092,5088933,Checking,USD,566565.29,549353.31,0,0.0107,427908706,2021-08-26,5899,Individual
140235,7060748,Checking,USD,343494.06,310697.44,0,0.0488,774924022,2021-04-29,5623,Individual
219077,6119353,Savings,USD,596867.04,550803.89,100,0.0415,876800134,2020-05-10,9395,Individual
872534,3722160,Checking,USD,34025.63,32909.09,0,0.0219,592803883,2023-06-06,7351,Individual
607907,2250626,Savings,USD,973208.97,891686.87,100,0.0232,237546172,2022-02-17,9807,Joint
782192,4907940,Checking,USD,371667.42,362777.23,0,0.0363,994171758,2023-02-27,3894,Individual
838667,3272177,Checking,USD,537046.86,531857.96,0,0.0133,401270722,2021-04-18,2035,Individual
688715,9409554,Checking,USD,823099.6,773296.52,0,0.0315,743711449,2020-11-25,4939,Joint
667745,4982775,Savings,USD,801310.9,737200.14,100,0.0438,282055290,2021-04-02,7340,Joint
636924,7636992,Savings,USD,541877.78,530058.19,100,0.021,412384545,2022-07-17,4535,Joint
188840,5042775,Savings,USD,39727.12,37561.41,100,0.0127,930190879,2021-06-20,8912,Joint
746972,6774149,Savings,USD,550031.53,526587.27,100,0.0259,819830638,2020-10-20,6816,Individual
848702,9682243,Checking,USD,662798.16,611999.99,0,0.0108,870647655,2020-08-16,7349,Individual
297773,4935184,Checking,USD,426595.73,415381.95,0,0.0456,662851351,2022-01-08,5304,Individual
471012,5451705,Savings,USD,709060.7,675500.35,100,0.0357,519162621,2019-12-28,8488,Joint
703956,1521658,Savings,USD,853247.21,816525.07,100,0.0322,637211843,2024-01-09,2408,Joint
316768,1824285,Checking,USD,242918.31,241878.87,0,0.0346,104459970,2019-12-20,7039,Joint
161188,6955967,Checking,USD,310228.66,294170.6,0,0.0463,390187009,2021-08-25,9022,Joint
264404,1204940,Checking,USD,964988.28,958926.88,0,0.0174,718317091,2023-12-02,1268,Joint
281444,2594065,Savings,USD,846949.03,776464.69,100,0.0403,765589830,2024-08-17,4363,Individual
340081,7202416,Checking,USD,298758.07,281380.44,0,0.0284,974467657,2021-07-18,2294,Individual
865430,4554788,Checking,USD,743801.87,697020.13,0,0.0314,251475523,2020-09-23,8548,Joint
819688,3384289,Checking,USD,890119.23,836255.37,0,0.0193,417053968,2021-05-24,6366,Joint
280784,3821189,Savings,USD,609912.45,573680.48,100,0.0117,135091088,2020-07-23,7096,Individual
665153,8789281,Savings,USD,637378.19,626253.93,100,0.0397,270463851,2021-06-20,3931,Individual
